Binomial name,Search count
Pseudoxanthomonas spadix,4200
Pectobacterium betavasculorum,4190
Streptomyces griseorubiginosus,4190
Edwardsiella hoshinae,4190
Mesorhizobium plurifarium,4170
Pseudomonas helleri,4170
Bacillus nakamurai,4170
Xenorhabdus szentirmaii,4160
Nocardia vaccinii,4150
Streptomyces gulbargensis,4120
Treponema pedis,4110
Niallia circulans,4080
Citrobacter murliniae,4080
Planococcus citreus,4070
Komagataeibacter intermedius,4070
Nocardia globerula,4060
Advenella kashmirensis,4060
Pandoraea apista,4050
Campylobacter helveticus,4040
Burkholderia territorii,4030
Rhodococcus coprophilus,4030
Cytobacillus firmus,4030
Helicobacter canadensis,4010
Aquaspirillum serpens,4010
Kosakonia oryzae,4010
Pseudoalteromonas arctica,3990
Pediococcus claussenii,3990
Acinetobacter beijerinckii,3990
Streptomyces candidus,3980
Rothia nasimurium,3950
Corynebacterium argentoratense,3940
Acinetobacter gyllenbergii,3930
Lactococcus plantarum,3920
Brachybacterium paraconglomeratum,3920
Brucella anthropi,3910
Xanthomonas sacchari,3910
Pandoraea sputorum,3900
Haloferax gibbonsii,3900
Lelliottia nimipressuralis,3880
Pseudomonas argentinensis,3880
Corynebacterium singulare,3870
Micrococcus aloeverae,3860
Mesorhizobium tianshanense,3860
Aeromonas enteropelogenes,3830
Streptomyces lusitanus,3830
Gordonia sputi,3820
Clostridium sartagoforme,3820
Aliivibrio logei,3800
Holdemania filiformis,3800
Halorubrum saccharovorum,3780
Xanthomonas populi,3780
Oribacterium sinus,3780
Streptomyces rutgersensis,3760
Dickeya fangzhongdai,3760
Halalkalibacterium halodurans,3740
Bradyrhizobium pachyrhizi,3720
Streptomyces sannanensis,3720
Pseudomonas chengduensis,3720
Ideonella dechloratans,3710
Pseudoalteromonas flavipulchra,3700
Streptomyces nigrescens,3690
Staphylococcus schweitzeri,3680
Agathobacter rectalis,3680
Pseudomonas guariconensis,3670
Owenweeksia hongkongensis,3660
Burkholderia metallica,3650
Pseudomonas toyotomiensis,3650
Actinobaculum suis,3650
Xenorhabdus budapestensis,3640
Bacillus benzoevorans,3620
Serratia quinivorans,3610
Shewanella vesiculosa,3610
Microbacterium maritypicum,3600
Vibrio azureus,3600
Phyllobacterium brassicacearum,3580
Pseudomonas tremae,3570
Bacteroides caecimuris,3560
Neisseria zoodegmatis,3550
Kutzneria albida,3530
Halorubrum ezzemoulense,3530
Pseudomonas alkylphenolica,3520
Streptomyces narbonensis,3520
Chromobacterium vaccinii,3520
Streptomyces neyagawaensis,3510
Rodentibacter pneumotropicus,3510
Agrobacterium pusense,3510
Porphyromonas uenonis,3510
Prevotella jejuni,3490
Burkholderia diffusa,3490
Burkholderia latens,3480
Pasteurella stomatis,3480
Mycobacterium shimoidei,3470
Staphylococcus petrasii,3470
Pseudomonas vranovensis,3460
Atlantibacter hermannii,3460
Neisseria animaloris,3460
Streptomyces pluripotens,3460
Natronorubrum tibetense,3460
Streptomyces flavovirens,3450
Streptococcus criceti,3450
Dyella japonica,3420
Neisseria oralis,3420
Streptomyces vietnamensis,3420
Pseudomonas guguanensis,3410
Acinetobacter lactucae,3410
Bacillus mobilis,3410
Nocardia veterana,3390
Pectobacterium versatile,3390
Pandoraea pulmonicola,3390
Acidipropionibacterium acidipropionici,3380
Streptomyces alfalfae,3360
Pseudoxanthomonas suwonensis,3360
Pseudoalteromonas marina,3360
Streptomyces cinereoruber,3350
Achromobacter insuavis,3350
Gluconacetobacter sacchari,3330
Bacillus gaemokensis,3320
Brevibacillus formosus,3310
Bacillus swezeyi,3310
Providencia heimbachae,3310
Bacillus stercoris,3300
Marinobacter lipolyticus,3300
Pediococcus inopinatus,3290
Neisseria canis,3290
Vibrio gigantis,3290
Rhizobium pisi,3290
Streptomyces pseudogriseolus,3280
Eubacterium callanderi,3280
Nitrospirillum amazonense,3280
Rhodococcus zopfii,3270
Pantoea cypripedii,3270
Pseudoalteromonas nigrifaciens,3260
Streptomyces tuirus,3260
Nonomuraea gerenzanensis,3260
Streptococcus hyointestinalis,3260
Streptomyces caniferus,3260
Streptomyces wedmorensis,3250
Suttonella ornithocola,3250
Corynebacterium falsenii,3250
Pseudoalteromonas phenolica,3240
Streptomyces aureoverticillatus,3240
Bifidobacterium choerinum,3240
Fervidobacterium pennivorans,3240
Xanthomonas hyacinthi,3230
Streptomyces echinatus,3220
Streptomyces rameus,3220
Paenibacillus lentus,3220
Pseudoalteromonas elyakovii,3200
Streptomyces gancidicus,3200
Komagataeibacter nataicola,3190
Rickettsia hoogstraalii,3190
Streptomyces pulveraceus,3190
Paenibacillus brasilensis,3190
[Pseudomonas] zhaodongensis,3180
Microbacterium flavescens,3180
Pantoea anthophila,3180
Micromonospora lupini,3170
Corynebacterium freneyi,3170
Actinomyces johnsonii,3170
Streptomyces resistomycificus,3160
Streptomyces thermodiastaticus,3150
Vibrio sinaloensis,3150
Lachnoclostridium phytofermentans,3150
Aeromonas popoffii,3120
Vibrio metoecus,3120
Streptomyces arenae,3100
Kosakonia arachidis,3100
Streptomyces europaeiscabiei,3090
Saccharomonospora azurea,3080
Paraburkholderia graminis,3080
Staphylococcus muscae,3070
Amycolatopsis rifamycinica,3070
Aeromonas eucrenophila,3070
Streptomyces humidus,3060
Mycobacterium marseillense,3060
Streptomyces levis,3050
Clostridium isatidis,3040
Flavobacterium covae,3040
Pantoea eucrina,3030
Erwinia aphidicola,3030
Bacillus manliponensis,3030
Azospirillum thiophilum,3020
Streptomyces auratus,3020
Komagataeibacter oboediens,3010
Amycolatopsis keratiniphila,3000
Microbacterium trichothecenolyticum,3000
Streptomyces filamentosus,3000
Streptomyces lunaelactis,2990
Rickettsia tamurae,2990
Rhizobium favelukesii,2990
Staphylococcus devriesei,2990
Corynebacterium auriscanis,2990
Collinsella intestinalis,2990
Nocardia iowensis,2990
Kocuria polaris,2980
Nitrobacter vulgaris,2980
Streptomyces althioticus,2980
Mannheimia glucosida,2980
Streptomyces spiroverticillatus,2970
Streptomyces roseolus,2970
Pseudomonas silesiensis,2960
Streptomyces albospinus,2950
Legionella parisiensis,2930
Microbacterium resistens,2920
Nocardiopsis prasina,2920
Collimonas pratensis,2920
Rhizobium grahamii,2920
Bradyrhizobium lupini,2910
Psychrobacter faecalis,2910
Aeromonas molluscorum,2910
Listeria marthii,2910
Gluconacetobacter entanii,2900
Franconibacter pulveris,2900
Streptococcus parasuis,2900
Clostridium puniceum,2900
Streptomyces vinaceusdrappus,2900
Pseudomonas weihenstephanensis,2890
Achromobacter marplatensis,2890
Gordonia westfalica,2890
Arcanobacterium phocae,2880
Rummeliibacillus stabekisii,2880
Staphylococcus edaphicus,2880
Pseudescherichia vulneris,2870
Weissella ceti,2870
Vibrio rumoiensis,2870
Pseudoalteromonas antarctica,2860
Streptomyces flaveolus,2860
Pantoea septica,2850
Bifidobacterium pullorum,2850
Streptomyces albaduncus,2850
Streptomyces tauricus,2850
Flavobacterium frigoris,2850
Nevskia ramosa,2850
Algoriphagus machipongonensis,2840
Myxococcus virescens,2840
Pseudomonas punonensis,2830
Corynebacterium pyruviciproducens,2830
Flavobacterium succinicans,2820
Streptomyces thinghirensis,2820
Streptomyces stelliscabiei,2820
Prevotella micans,2820
Rhizobium mesoamericanum,2810
Corynebacterium pseudogenitalium,2810
Vibrio halioticoli,2810
Burkholderia stagnalis,2780
Streptomyces sanglieri,2780
Methanosarcina siciliae,2780
Streptomyces matensis,2780
Streptomyces sclerotialus,2780
Microbacterium hominis,2760
Bordetella pseudohinzii,2760
Streptomyces termitum,2750
Streptomyces tricolor,2730
Bifidobacterium boum,2730
Aeromonas taiwanensis,2720
Nocardia paucivorans,2710
Streptomyces labedae,2700
Terriglobus roseus,2700
Mycobacterium shottsii,2690
Streptomyces rubrogriseus,2690
Streptomyces sanyensis,2680
Streptomyces djakartensis,2680
Streptococcus danieliae,2680
Pseudomonas asturiensis,2670
Xenorhabdus indica,2670
Streptomyces pseudovenezuelae,2670
Bradyrhizobium vignae,2670
Acidithiobacillus ferridurans,2660
Streptomyces omiyaensis,2660
Streptomyces monomycini,2660
Xenorhabdus poinarii,2650
Streptomyces zaomyceticus,2650
Pseudaminobacter salicylatoxidans,2640
Vagococcus lutrae,2630
Flavobacterium pectinovorum,2630
Halococcus thailandensis,2630
Rahnella aceris,2620
Methylotuvimicrobium buryatense,2610
Pantoea brenneri,2600
Pseudomonas benzenivorans,2600
Ruthenibacterium lactatiformans,2600
Sporolactobacillus laevolacticus,2590
Vibrio chagasii,2580
Mycobacterium paraffinicum,2580
Catellicoccus marimammalium,2580
Pseudomonas panipatensis,2580
Devriesea agamarum,2580
Streptomyces luteogriseus,2580
Leptospira alexanderi,2580
Pseudoalteromonas ruthenica,2570
Echinicola vietnamensis,2570
Rahnella victoriana,2560
Streptomyces showdoensis,2560
Aquitalea magnusonii,2560
Sphingomonas desiccabilis,2560
Collimonas arenae,2550
Enterocloster clostridioformis,2550
Streptomyces decoyicus,2540
Corynebacterium rouxii,2530
Bacillus canaveralius,2530
Helicobacter salomonis,2520
Halorubrum tebenquichense,2520
Pseudomonas alloputida,2510
Mycobacterium riyadhense,2510
Achromobacter aegrifaciens,2510
Gluconobacter albidus,2500
Pseudopedobacter saltans,2500
Klebsiella pasteurii,2490
Vibrio navarrensis,2490
Dokdonia donghaensis,2490
Rhizobium freirei,2490
Hoeflea phototrophica,2480
Streptomyces fragilis,2470
Geobacillus vulcani,2470
Brevibacillus invocatus,2460
Pectobacterium polaris,2460
Lacticaseibacillus zeae,2450
Thermoclostridium stercorarium,2450
Clostridium carnis,2440
Streptomyces spinoverrucosus,2430
Pseudoalteromonas shioyasakiensis,2420
Mycobacterium shinjukuense,2420
Haloferax larsenii,2410
Pseudoalteromonas issachenkonii,2400
Corynebacterium testudinoris,2400
Bacillus nitratireducens,2400
Paraburkholderia aromaticivorans,2400
Pseudomonas borbori,2400
Leeuwenhoekiella blandensis,2400
Enterococcus caccae,2390
Bradyrhizobium ottawaense,2380
Bacillus gobiensis,2380
Janibacter melonis,2370
Corynebacterium tuscaniense,2370
Streptomyces eurythermus,2370
Streptomyces phaeoluteigriseus,2360
Burkholderia pseudomultivorans,2360
Pseudoalteromonas espejiana,2360
Alteromonas australica,2360
Streptomyces lateritius,2360
Bradyrhizobium arachidis,2360
Azospirillum doebereinerae,2360
Streptomyces tunisiensis,2360
Micrococcus antarcticus,2350
Bizionia argentinensis,2350
Vibrio breoganii,2350
Paenalcaligenes hominis,2350
Streptomyces minutiscleroticus,2340
Vibrio hepatarius,2330
Pseudomonas straminea,2330
Streptomyces viridodiastaticus,2330
Streptomyces flavofungini,2330
Vibrio tritonius,2320
Mammaliicoccus lentus,2310
Paenibacillus favisporus,2310
Streptomyces griseoloalbus,2310
Raoultella electrica,2300
Pseudomonas soli,2300
Lentilactobacillus parafarraginis,2300
Prescottella equi,2300
Pseudomonas seleniipraecipitans,2300
Leuconostoc holzapfelii,2300
Methanosarcina vacuolata,2290
Streptomyces paradoxus,2290
Streptomyces alanosinicus,2290
Brachyspira innocens,2290
Pseudomonas kuykendallii,2280
Pseudomonas caspiana,2280
Streptomyces reticuliscabiei,2280
Streptomyces durmitorensis,2280
Streptomyces xanthochromogenes,2280
Pseudoalteromonas distincta,2280
Vibrio kanaloae,2270
Sinorhizobium americanum,2270
Psychrobacter pulmonis,2270
Streptomyces lienomycini,2270
Haloferax lucentense,2270
Streptomyces catenulae,2260
Clostridium sardiniense,2250
Streptomyces sindenensis,2250
Aeromonas simiae,2250
Clostridium chromiireducens,2250
Streptomyces fumanus,2250
Natrinema pallidum,2250
Mycobacterium cookii,2230
Macrococcus canis,2230
Segniliparus rugosus,2230
Streptomyces lomondensis,2230
Corynebacterium mustelae,2230
Bradyrhizobium icense,2220
Gordonia sihwensis,2220
Mycobacterium sherrisii,2220
Streptomyces graminearus,2220
Brachybacterium conglomeratum,2220
Cytobacillus oceanisediminis,2220
Streptomyces cremeus,2220
Pantoea allii,2220
Atlantibacter subterranea,2220
Yersinia similis,2220
Enterococcus asini,2210
Streptomyces bobili,2210
Streptomyces kurssanovii,2210
Vibrio nereis,2210
Stomatobaculum longum,2210
Streptomyces roseofulvus,2210
Pseudomonas sagittaria,2200
Lactobacillus kitasatonis,2190
Streptomyces aurantiogriseus,2190
Sphingomonas aquatilis,2190
Bradyrhizobium betae,2180
Streptomyces youssoufiensis,2180
Alicyclobacillus hesperidum,2180
Pseudomonas guangdongensis,2180
Streptomyces jietaisiensis,2180
Streptomyces spiralis,2170
Amycolatopsis japonica,2160
Lactiplantibacillus argentoratensis,2160
Pseudomonas reidholzensis,2160
Pseudomonas juntendi,2160
Avibacterium gallinarum,2160
Limosilactobacillus oris,2150
Streptomyces intermedius,2150
Streptomyces chilikensis,2150
Alkalibacillus haloalkaliphilus,2150
Citrobacter pasteurii,2140
Streptomyces sundarbansensis,2140
Enterobacter huaxiensis,2140
Paraburkholderia terrae,2140
Natrinema versiforme,2140
Streptomyces finlayi,2130
Lysinibacillus pakistanensis,2130
Streptomyces ramulosus,2130
Pseudomonas granadensis,2110
Amycolatopsis azurea,2110
Streptomyces gougerotii,2110
Chryseobacterium scophthalmum,2110
Parageobacillus caldoxylosilyticus,2110
Loktanella agnita,2110
Halococcus dombrowskii,2110
Streptomyces capillispiralis,2110
Rhizobium anhuiense,2100
Streptomyces erythrogriseus,2100
Xenorhabdus hominickii,2100
Streptomyces deccanensis,2100
Brevibacillus panacihumi,2100
[Pseudomonas] carboxydohydrogena,2100
Mycobacterium kubicae,2090
Pseudomonas atacamensis,2090
Paenibacillus phoenicis,2090
Streptomyces umbrinus,2090
Pigmentiphaga kullae,2080
Mycobacterium bohemicum,2070
Streptomyces yokosukanensis,2070
Streptomyces geysiriensis,2070
Actinomyces bowdenii,2070
Brucella vulpis,2070
Streptomyces viridobrunneus,2060
Mycobacterium mantenii,2060
Streptomyces violarus,2060
Moritella yayanosii,2060
Enterobacter sichuanensis,2060
Streptomyces huasconensis,2050
Bradyrhizobium jicamae,2050
Listeria weihenstephanensis,2050
Myroides profundi,2050
Thioflavicoccus mobilis,2050
Rothia amarae,2040
Mycobacterium saskatchewanense,2040
Chryseobacterium taeanense,2040
Streptomyces pluricolorescens,2040
Staphylococcus coagulans,2040
Streptomyces thermocarboxydovorans,2040
Oleidesulfovibrio alaskensis,2040
Micrococcus endophyticus,2030
Streptomyces torulosus,2030
Dyella ginsengisoli,2030
Aeromonas sanarellii,2030
Staphylococcus microti,2020
Vibrio atlanticus,2020
Streptomyces mauvecolor,2010
Streptomyces clavifer,2010
Erwinia toletana,2010
Brachybacterium muris,2000
Rhodococcus koreensis,2000
Klebsiella huaxiensis,2000
Xylella taiwanensis,2000
Pseudomonas bohemica,1990
Streptomyces yanii,1990
Leifsonia shinshuensis,1980
Bhargavaea cecembensis,1980
Mycobacterium kyorinense,1980
Schaalia meyeri,1980
Fusobacterium russii,1980
Pseudochrobactrum saccharolyticum,1970
Kocuria turfanensis,1970
Methanocorpusculum parvum,1970
Chryseobacterium lactis,1960
Mycobacterium lacus,1950
Rhodococcus gordoniae,1950
Arsenicicoccus bolidensis,1950
Pantoea conspicua,1950
Viridibacillus arenosi,1950
Yersinia aleksiciae,1950
Streptomyces fumigatiscleroticus,1950
Oceanicaulis alexandrii,1950
Mycobacterium nebraskense,1940
Achromobacter pulmonis,1930
Flavobacterium saccharophilum,1930
Microbacterium azadirachtae,1930
Corynebacterium confusum,1930
Xenorhabdus stockiae,1930
Rhodococcus baikonurensis,1920
Rhodococcus triatomae,1920
Pseudomonas mohnii,1920
Microbacterium luteolum,1920
Mycobacterium timonense,1920
Streptomyces laculatispora,1920
Pseudomonas glycinae,1920
Planococcus donghaensis,1920
Mycoplasmoides pneumoniae,1920
Dickeya aquatica,1910
Flavobacterium frigidimaris,1910
Corynebacterium epidermidicanis,1910
Pseudomonas duriflava,1910
Streptomyces africanus,1910
Lachnospira eligens,1910
Rhizobium tibeticum,1900
Streptomyces brasiliensis,1890
Micromonospora saelicesensis,1890
Caballeronia insecticola,1890
Acinetobacter tjernbergiae,1890
Brucella papionis,1880
Micrococcus terreus,1880
Avibacterium volantium,1880
Coprobacter fastidiosus,1870
Pectobacterium actinidiae,1870
Pseudomonas floridensis,1870
Enterococcus canintestini,1870
Streptomyces zagrosensis,1860
Streptomyces flavovariabilis,1860
Amycolatopsis lurida,1860
Xanthomonas theicola,1860
Bradyrhizobium lablabi,1860
Bradyrhizobium daqingense,1860
Brachybacterium saurashtrense,1860
Corynebacterium uterequi,1860
Paraburkholderia caribensis,1860
Rhizobium indigoferae,1850
Comamonas koreensis,1850
Streptomyces violaceorubidus,1850
Streptomyces tritolerans,1850
Streptomyces araujoniae,1850
Listeria rocourtiae,1850
Sphaerochaeta globosa,1850
Pseudoalteromonas spongiae,1850
Aeromonas bivalvium,1840
Streptomyces malachitofuscus,1840
Bacillus luti,1840
Lactobacillus mulieris,1840
Streptomyces inhibens,1840
Streptomyces gelaticus,1830
Aquamicrobium defluvii,1830
Streptomyces marokkonensis,1830
Corynebacterium silvaticum,1820
Mycobacterium conspicuum,1820
Streptomyces carpinensis,1820
Enterococcus silesiacus,1820
Streptomyces variegatus,1820
Xenorhabdus cabanillasii,1820
Metamycoplasma hominis,1820
Limosilactobacillus panis,1810
Aeromonas rivipollensis,1810
Chryseobacterium bernardetii,1810
Neptuniibacter caesariensis,1810
Legionella cincinnatiensis,1810
Streptomyces xantholiticus,1810
Moritella profunda,1800
Thiomonas arsenitoxydans,1800
Streptomyces violaceolatus,1800
Sphingobium baderi,1800
Pseudochrobactrum asaccharolyticum,1790
Sphingomonas asaccharolytica,1790
Pseudomonas endophytica,1780
Fluoribacter gormanii,1780
Paenibacillus cineris,1780
Staphylococcus rostri,1770
Agrobacterium albertimagni,1770
Streptococcus entericus,1770
Natronorubrum bangense,1770
Sinorhizobium terangae,1760
Pseudomonas haemolytica,1760
Mycobacterium seoulense,1760
Rhizobium fabae,1760
Borreliella afzelii,1750
Streptomyces cellostaticus,1750
Mycobacterium shigaense,1750
Dietzia timorensis,1750
Klebsiella africana,1750
Streptomyces heliomycini,1750
Vibrio pectenicida,1750
Pseudarthrobacter oxydans,1740
Nocardia elegans,1740
Micromonospora marina,1740
Streptomyces brevispora,1740
Streptomyces daghestanicus,1730
Advenella incenata,1720
Rodentibacter heylii,1720
Burkholderia humptydooensis,1720
Nitratireductor aquibiodomus,1720
Pantoea rwandensis,1710
Streptomyces asenjonii,1710
Streptomyces dengpaensis,1710
Streptomyces roseolilacinus,1710
Streptomyces anthocyanicus,1710
Citrobacter europaeus,1710
Methanolobus vulcani,1710
Streptomyces coeruleofuscus,1710
Paraburkholderia kururiensis,1710
Streptomyces aquilus,1700
Streptomyces silaceus,1700
Streptomyces chryseus,1700
Microbacterium chocolatum,1700
Parageobacillus thermantarcticus,1700
Photobacterium galatheae,1690
Streptomyces bangladeshensis,1690
Pseudoalteromonas ulvae,1690
Propionimicrobium lymphophilum,1690
Pectobacterium punjabense,1680
Streptomyces litmocidini,1680
Campylobacter volucris,1680
Streptomyces dangxiongensis,1680
Mannheimia ruminalis,1680
Lactobacillus fornicalis,1680
Rhizobium alamii,1670
Sphingobium amiense,1670
Nonomuraea coxensis,1670
Listeria newyorkensis,1660
Streptomyces fulvorobeus,1660
Sphingomonas mali,1660
Microbacterium arabinogalactanolyticum,1660
Oceanimonas doudoroffii,1660
Salinivibrio proteolyticus,1660
Kocuria atrinae,1660
Psychrobacter sanguinis,1660
Pseudomonas citri,1660
Methylobacter marinus,1660
Streptomyces rubiginosohelvolus,1650
Streptomyces violaceorectus,1650
Bartonella chomelii,1650
Bifidobacterium lemurum,1640
Planomicrobium okeanokoites,1640
Streptomyces virens,1640
Brevibacillus centrosporus,1640
Flavobacterium aquidurense,1640
Paenibacillus tianmuensis,1640
Halobiforma lacisalsi,1640
Paraburkholderia sabiae,1640
Burkholderia aenigmatica,1630
Gordonia aichiensis,1630
Vibrio maritimus,1630
Pantoea rodasii,1620
Achromobacter deleyi,1620
Elizabethkingia bruuniana,1620
Elizabethkingia ursingii,1610
Streptococcus devriesei,1610
Schaalia turicensis,1610
Afipia carboxidovorans,1610
Mycobacterium palustre,1600
Vibrio pomeroyi,1600
Streptomyces paludis,1600
Campylobacter peloridis,1600
Photobacterium iliopiscarium,1600
Aminobacter niigataensis,1600
Streptomyces bullii,1600
Mycolicibacterium gilvum,1590
Mycobacterium heidelbergense,1590
Virgibacillus necropolis,1590
Microbulbifer agarilyticus,1590
Bartonella coopersplainsensis,1590
Neobacillus drentensis,1580
Pseudomonas saxonica,1580
Micromonospora chokoriensis,1580
Lentilactobacillus rapi,1580
Pseudomonas linyingensis,1580
Dyella jiangningensis,1580
Nocardiopsis aegyptia,1580
Herbaspirillum aquaticum,1580
Acinetobacter brisouii,1580
Streptomyces muensis,1570
Streptococcus rubneri,1570
Streptomyces niveoruber,1570
Streptomyces javensis,1570
Sporolactobacillus terrae,1570
Kosakonia oryziphila,1560
Nocardia puris,1560
Enterococcus canis,1560
Streptomyces poonensis,1560
Dyella thiooxydans,1560
Paenarthrobacter nitroguajacolicus,1560
Brachyspira suanatina,1560
Gordonia desulfuricans,1560
Agrobacterium salinitolerans,1560
Streptomyces cadmiisoli,1550
Bordetella bronchialis,1550
Streptomyces cinerochromogenes,1550
Streptomyces jeddahensis,1550
Natrinema altunense,1550
Haloferax prahovense,1550
Parageobacillus toebii,1540
Pseudomonas daroniae,1540
Photobacterium rosenbergii,1540
Pseudoalteromonas undina,1540
Bordetella flabilis,1540
Stenotrophomonas chelatiphaga,1540
Nocardia cerradoensis,1540
Vibrio alfacsensis,1540
Achromobacter pestifer,1540
Pandoraea thiooxydans,1540
Mycoplasmopsis fermentans,1540
Pseudomonas laurylsulfativorans,1530
Alteromonas marina,1530
Actinomadura citrea,1530
Streptomyces melanogenes,1530
Acinetobacter equi,1530
Thalassospira profundimaris,1530
Streptomyces novaecaesareae,1530
Flavobacterium collinsii,1520
Vibrio toranzoniae,1520
Paenibacillus agaridevorans,1520
Xenorhabdus innexi,1520
Marinobacterium stanieri,1520
Campylobacter subantarcticus,1520
Polymorphospora rubra,1520
Pseudoxanthomonas japonensis,1520
Bacillus pakistanensis,1520
Flavobacterium rivuli,1520
Paraburkholderia caledonica,1510
Bradyrhizobium erythrophlei,1510
Streptomyces graminilatus,1510
Microbacterium proteolyticum,1510
Streptomyces adustus,1510
Arthrobacter psychrochitiniphilus,1510
Carnobacterium viridans,1500
Amycolatopsis pretoriensis,1500
Phyllobacterium trifolii,1500
Rhizobacter gummiphilus,1500
Corynebacterium felinum,1500
Corynebacterium spheniscorum,1500
Actinobaculum massiliense,1500
Chryseobacterium ureilyticum,1500
Streptomyces chiangmaiensis,1500
Chryseobacterium polytrichastri,1490
Pseudomonas dryadis,1490
Streptomyces yerevanensis,1490
Mycobacterium europaeum,1490
Petrimonas sulfuriphila,1490
Helicobacter cholecystus,1490
Streptomyces aureocirculatus,1490
Bradyrhizobium retamae,1480
Streptomyces qinzhouensis,1480
Pseudomonas bijieensis,1480
Streptomyces tacrolimicus,1480
Colwellia maris,1480
Leifsonia poae,1480
Sphingomonas leidyi,1480
Avibacterium avium,1480
Legionella lytica,1470
Paenibacillus cookii,1470
Pseudomonas khazarica,1470
Streptomyces yogyakartensis,1470
Bacteroides gallinarum,1470
Streptomyces hokutonensis,1460
Enterococcus ratti,1460
Streptomyces phaeolivaceus,1460
Streptomyces mutomycini,1460
Azospirillum humicireducens,1460
Rummeliibacillus pycnus,1460
Streptomyces lavendulocolor,1460
Paenibacillus azoreducens,1450
Pseudomonas fluvialis,1450
Streptomyces caniscabiei,1450
Streptomyces liliifuscus,1450
Halorubrum trapanicum,1450
Streptomyces crystallinus,1450
Streptococcus didelphis,1450
Fluoribacter dumoffii,1450
Ligilactobacillus acidipiscis,1450
Propionibacterium australiense,1440
Pseudomonas viciae,1440
Streptomyces roseirectus,1440
Flavobacterium glaciei,1440
Aeromonas piscicola,1440
Mesorhizobium muleiense,1440
Bartonella ancashensis,1440
Schaalia cardiffensis,1440
Mesorhizobium qingshengii,1430
Rhizobium acidisoli,1430
Mycobacterium parmense,1430
Bradyrhizobium guangdongense,1420
Leuconostoc suionicum,1420
Microbulbifer variabilis,1420
Streptomyces albidochromogenes,1420
Sphingomonas pruni,1420
Paenibacillus provencensis,1420
Streptomyces deserti,1420
Paenibacillus motobuensis,1420
Streptomyces phaeoluteichromatogenes,1420
Vibrio xuii,1410
Corynebacterium belfantii,1410
Amycolatopsis vancoresmycina,1410
Nocardia alba,1410
Pseudomonas tohonis,1410
Microbacterium saperdae,1410
Nocardiopsis flavescens,1410
[Haemophilus] piscium,1410
Enterovibrio coralii,1410
Pseudoalteromonas maricaloris,1410
Staphylococcus pseudoxylosus,1410
Corynebacterium caspium,1410
Micromonospora matsumotoense,1400
Pseudoalteromonas aliena,1400
Cutibacterium modestum,1400
Streptomyces plumbiresistens,1400
Caballeronia glathei,1400
Paraburkholderia caffeinilytica,1400
Clostridium tarantellae,1400
Pandoraea vervacti,1400
Macrococcus carouselicus,1400
Kurthia massiliensis,1400
Pseudomonas siliginis,1390
Acidovorax carolinensis,1390
Achromobacter kerstersii,1390
Enterobacter chuandaensis,1390
Listeria booriae,1390
Vibrio variabilis,1390
Bacillus fungorum,1380
Pseudomonas piscis,1380
Helicobacter equorum,1380
Burkholderia catarinensis,1380
Pseudomonas zeshuii,1370
Streptomyces siamensis,1370
Trichococcus pasteurii,1370
Acinetobacter kookii,1370
Gordonia hongkongensis,1370
Streptomyces fagopyri,1370
Helicobacter ailurogastricus,1360
Cupriavidus cauae,1360
Pseudomonas kielensis,1360
Micromonospora purpureochromogenes,1360
Streptomyces roseoviridis,1360
Paenibacillus rhizosphaerae,1360
Streptomyces ardesiacus,1360
Streptomyces viridiviolaceus,1360
Clostridium punense,1350
Mycolicibacterium rhodesiae,1350
Streptomyces spongiae,1350
Arthrobacter russicus,1350
Pantoea deleyi,1350
Falsibacillus pallidus,1350
Paenibacillus hunanensis,1350
Xanthomonas melonis,1350
Pseudomonas inefficax,1340
Nocardia neocaledoniensis,1340
Novacetimonas hansenii,1340
Neisseria animalis,1340
Xanthomonas pisi,1340
Streptomyces rhizosphaerihabitans,1340
Pediococcus stilesii,1340
Klebsiella spallanzanii,1340
Pyxidicoccus fallax,1340
Sphingobium cloacae,1330
Pseudomonas tructae,1330
Streptomyces roseoviolaceus,1330
Kitasatospora albolonga,1330
Desulfobacter curvatus,1330
Paraburkholderia phenoliruptrix,1330
Streptomyces graminifolii,1320
Bacillus dafuensis,1320
Burkholderia puraquae,1320
Xanthomonas prunicola,1320
Yoonia vestfoldensis,1320
Streptomyces ossamyceticus,1320
Gordonia soli,1320
Mycobacterium paraense,1320
Erythrobacter ramosus,1320
Streptomyces heilongjiangensis,1320
Granulicatella balaenopterae,1320
Streptomyces scopiformis,1310
Geobacillus icigianus,1310
Streptomyces polymachus,1310
Streptomyces malachitospinus,1310
Legionella tucsonensis,1310
Acidithiobacillus ferriphilus,1310
Shewanella profunda,1310
Enterococcus termitis,1310
Leifsonia soli,1310
Cytobacillus kochii,1310
Asaia siamensis,1310
Streptomyces albiflaviniger,1310
Halorubrum coriense,1310
Stenotrophomonas geniculata,1310
Achromobacter animicus,1300
Acinetobacter proteolyticus,1300
Gordonia effusa,1300
Borreliella garinii,1300
Isoptericola dokdonensis,1300
Rhodococcus marinonascens,1300
Lentilactobacillus kisonensis,1300
Sanguibacter inulinus,1300
Chryseobacterium oncorhynchi,1300
Streptomyces prasinosporus,1300
Flavobacterium saliperosum,1300
Rhizobium bangladeshense,1290
Streptomyces tritici,1290
Herbaspirillum chlorophenolicum,1290
Gordonia malaquae,1290
Micromonospora halophytica,1290
