Parent_name,Gram_stain,Motility,Cell_shape,Culture_temperature_range,Oxygen_tolerance,Spore_formation,Biosafety_level
Carboxydothermus pertinax,NA,yes,rod,thermophilic,NA,NA,BSL-1
Carboxydothermus siderophilus,positive,no,rod,thermophilic,NA,no,NA
Carboxylicivirga flava,negative,NA,rod,NA,NA,NA,NA
Carboxylicivirga linearis,NA,NA,NA,NA,NA,NA,BSL-1
Carboxylicivirga marina,NA,NA,NA,NA,NA,NA,NA
Carboxylicivirga mesophila,NA,NA,NA,mesophilic,NA,NA,NA
Carboxylicivirga sediminis,negative,no,rod,NA,NA,NA,NA
Carboxylicivirga taeanensis,NA,NA,NA,mesophilic,NA,NA,NA
Cardiobacterium hominis,NA,NA,NA,mesophilic,NA,NA,NA
Cardiobacterium valvarum,NA,NA,NA,mesophilic,microaerophile,NA,NA
Carideicomes alvinocaridis,NA,NA,NA,mesophilic,NA,NA,NA
Carnimonas nigrificans,NA,NA,NA,mesophilic,NA,NA,NA
Carnobacterium alterfunditum,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Carnobacterium antarcticum,positive,yes,rod,mesophilic,NA,no,NA
Carnobacterium divergens,NA,NA,NA,mesophilic,NA,NA,NA
Carnobacterium funditum,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Carnobacterium gallinarum,NA,NA,NA,mesophilic,NA,NA,NA
Carnobacterium iners,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Carnobacterium inhibens,NA,NA,NA,NA,NA,NA,NA
Carnobacterium jeotgali,positive,no,NA,mesophilic,microaerophile,NA,BSL-1
Carnobacterium maltaromaticum,NA,NA,NA,mesophilic,NA,NA,NA
Carnobacterium mobile,NA,NA,NA,mesophilic,NA,NA,NA
Carnobacterium pleistocenium,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Carnobacterium viridans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Caryophanon latum,NA,NA,NA,NA,NA,NA,NA
Caryophanon tenue,NA,NA,NA,mesophilic,NA,NA,BSL-1
Casimicrobium huifangae,NA,NA,NA,NA,NA,NA,NA
Castellaniella caeni,negative,no,rod,mesophilic,NA,NA,BSL-1
Castellaniella daejeonensis,negative,yes,rod,mesophilic,NA,no,BSL-1
Castellaniella defragrans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Castellaniella denitrificans,negative,yes,rod,mesophilic,NA,no,BSL-1
Castellaniella fermenti,negative,NA,NA,NA,NA,NA,NA
Castellaniella ginsengisoli,negative,yes,rod,mesophilic,NA,NA,BSL-1
Castellaniella hirudinis,negative,yes,rod,mesophilic,NA,no,BSL-1
Catalinimonas alkaloidigena,NA,NA,NA,NA,NA,NA,BSL-1
Catalinimonas niigatensis,NA,NA,NA,NA,NA,NA,BSL-1
Catellatospora aurea,NA,NA,NA,mesophilic,NA,NA,NA
Catellatospora bangladeshensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Catellatospora chokoriensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Catellatospora coxensis,positive,no,rod,mesophilic,NA,yes,BSL-1
Catellatospora paridis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catellatospora sichuanensis,NA,NA,NA,mesophilic,NA,NA,NA
Catellatospora tagetis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catellatospora tritici,NA,NA,NA,NA,NA,NA,NA
Catellatospora vulcania,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catellatospora yuxiensis,NA,NA,NA,mesophilic,NA,NA,NA
Catellicoccus marimammalium,NA,NA,NA,mesophilic,microaerophile,NA,NA
Catelliglobosispora koreensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenibacillus scindens,positive,no,rod,mesophilic,NA,no,NA
Catenibacterium mitsuokai,NA,NA,NA,mesophilic,NA,NA,NA
Catenisphaera adipataccumulans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenococcus thiocycli,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenovulum agarivorans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenovulum maritimum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenovulum sediminis,negative,yes,rod,NA,NA,NA,NA
Catenulispora acidiphila,positive,no,rod,mesophilic,NA,yes,BSL-1
Catenulispora fulva,positive,NA,NA,NA,NA,yes,BSL-1
Catenulispora graminis,positive,NA,rod,mesophilic,NA,yes,BSL-1
Catenulispora pinistramenti,NA,NA,NA,NA,NA,NA,NA
Catenulispora rubra,positive,no,rod,mesophilic,NA,yes,BSL-1
Catenulispora subtropica,positive,no,NA,mesophilic,NA,yes,BSL-1
Catenulispora yoronensis,positive,NA,NA,mesophilic,NA,NA,BSL-1
Catenuloplanes atrovinosus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenuloplanes castaneus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenuloplanes crispus,NA,NA,NA,mesophilic,NA,yes,BSL-1
Catenuloplanes indicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenuloplanes japonicus,NA,NA,NA,NA,NA,NA,NA
Catenuloplanes nepalensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catenuloplanes niger,NA,NA,NA,mesophilic,NA,NA,BSL-1
Catonella morbi,NA,NA,NA,NA,NA,NA,NA
Caulifigura coniformis,negative,NA,NA,NA,NA,NA,NA
Caulobacter daechungensis,negative,yes,rod,NA,NA,no,NA
Caulobacter flavus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Caulobacter fusiformis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Caulobacter ginsengisoli,NA,NA,NA,mesophilic,NA,NA,BSL-1
Caulobacter henricii,NA,NA,NA,mesophilic,NA,NA,NA
Caulobacter hibisci,negative,yes,rod,NA,NA,NA,NA
Caulobacter mirabilis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Caulobacter profundus,NA,NA,NA,mesophilic,NA,NA,NA
Caulobacter rhizosphaerae,negative,yes,rod,NA,NA,no,NA
Caulobacter segnis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Caulobacter soli,NA,NA,NA,NA,NA,NA,NA
Caulobacter vibrioides,NA,NA,NA,mesophilic,NA,NA,NA
Cavicella subterranea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Caviibacter abscessus,NA,NA,NA,mesophilic,NA,NA,NA
Caviibacterium pharyngocola,negative,no,NA,mesophilic,NA,NA,NA
Cecembia calidifontis,NA,NA,NA,thermophilic,NA,NA,BSL-1
Cecembia lonarensis,negative,no,rod,NA,NA,NA,NA
Cecembia rubra,NA,NA,NA,thermophilic,NA,NA,BSL-1
Cedecea davisae,NA,NA,NA,mesophilic,NA,NA,NA
Cedecea lapagei,NA,NA,NA,mesophilic,NA,NA,NA
Cedecea neteri,NA,NA,NA,NA,NA,NA,NA
Celeribacter arenosi,NA,NA,NA,mesophilic,NA,NA,NA
Celeribacter baekdonensis,negative,NA,ovoid,mesophilic,NA,NA,BSL-1
Celeribacter ethanolicus,NA,NA,NA,mesophilic,NA,NA,NA
Celeribacter halophilus,negative,no,rod,mesophilic,NA,NA,BSL-1
Celeribacter indicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Celeribacter litoreus,NA,NA,NA,NA,NA,NA,NA
Celeribacter marinus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Celeribacter naphthalenivorans,NA,NA,NA,mesophilic,NA,NA,NA
Celeribacter neptunius,negative,yes,rod,mesophilic,NA,no,BSL-1
Celeribacter persicus,negative,no,rod,NA,NA,no,BSL-1
Celerinatantimonas diazotrophica,NA,NA,NA,mesophilic,NA,NA,BSL-1
Celerinatantimonas yamalensis,negative,yes,rod,psychrophilic,NA,no,BSL-1
Cellulomonas aerilata,positive,yes,ovoid,mesophilic,NA,no,BSL-1
Cellulomonas algicola,NA,NA,NA,NA,NA,NA,NA
Cellulomonas avistercoris,NA,NA,NA,mesophilic,NA,NA,NA
Cellulomonas biazotea,NA,NA,NA,NA,NA,NA,NA
Cellulomonas bibula,NA,NA,NA,mesophilic,NA,NA,NA
Cellulomonas bogoriensis,positive,yes,rod,mesophilic,NA,NA,BSL-1
Cellulomonas carbonis,positive,yes,rod,mesophilic,NA,NA,BSL-1
Cellulomonas cellasea,NA,NA,NA,NA,NA,NA,NA
Cellulomonas chitinilytica,positive,no,rod,mesophilic,NA,no,BSL-1
Cellulomonas citrea,NA,NA,NA,NA,NA,NA,NA
Cellulomonas composti,positive,no,rod,mesophilic,NA,NA,BSL-1
Cellulomonas denverensis,NA,NA,NA,NA,NA,NA,NA
Cellulomonas dongxiuzhuiae,NA,NA,NA,NA,NA,NA,NA
Cellulomonas endophytica,NA,NA,NA,NA,NA,NA,NA
Cellulomonas fengjieae,NA,NA,NA,NA,NA,NA,NA
Cellulomonas fimi,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas flavigena,NA,NA,NA,NA,NA,NA,NA
Cellulomonas fulva,NA,NA,NA,NA,NA,NA,NA
Cellulomonas gelida,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas gilvus,positive,yes,rod,NA,NA,NA,NA
Cellulomonas hominis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas humilata,NA,NA,NA,mesophilic,microaerophile,NA,BSL-1
Cellulomonas iranensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas macrotermitis,NA,NA,NA,mesophilic,NA,NA,NA
Cellulomonas marina,positive,yes,coccus,mesophilic,NA,no,BSL-1
Cellulomonas massiliensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas oligotrophica,positive,yes,rod,mesophilic,NA,no,BSL-1
Cellulomonas pakistanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas palmilytica,NA,NA,NA,NA,NA,NA,NA
Cellulomonas persica,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas phragmiteti,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas rhizosphaerae,positive,no,NA,mesophilic,NA,NA,NA
Cellulomonas shaoxiangyii,NA,NA,NA,mesophilic,NA,NA,NA
Cellulomonas soli,positive,yes,rod,mesophilic,NA,NA,BSL-1
Cellulomonas telluris,NA,NA,NA,mesophilic,NA,NA,NA
Cellulomonas terrae,positive,no,rod,mesophilic,NA,NA,BSL-1
Cellulomonas uda,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulomonas wangleii,NA,NA,NA,NA,NA,NA,NA
Cellulomonas xylanilytica,positive,no,rod,mesophilic,NA,no,BSL-1
Cellulophaga algicola,negative,yes,rod,psychrophilic,NA,NA,BSL-1
Cellulophaga baltica,negative,no,rod,mesophilic,NA,NA,BSL-1
Cellulophaga fucicola,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellulophaga geojensis,negative,yes,rod,NA,NA,no,NA
Cellulophaga lytica,NA,NA,NA,NA,NA,NA,BSL-1
Cellulophaga pacifica,negative,yes,rod,NA,NA,no,NA
Cellulophaga tyrosinoxydans,negative,yes,rod,mesophilic,NA,NA,BSL-1
Cellulosibacter alkalithermophilus,positive,yes,rod,thermophilic,NA,yes,NA
Cellulosilyticum lentocellum,NA,yes,rod,mesophilic,NA,yes,BSL-1
Cellulosilyticum ruminicola,negative,no,rod,NA,NA,yes,BSL-1
Cellulosimicrobium cellulans,NA,NA,NA,mesophilic,NA,NA,NA
Cellulosimicrobium composti,NA,NA,NA,NA,NA,NA,NA
Cellulosimicrobium fucosivorans,NA,NA,NA,NA,NA,NA,NA
Cellulosimicrobium funkei,NA,NA,NA,mesophilic,NA,NA,NA
Cellulosimicrobium marinum,NA,NA,NA,NA,NA,NA,BSL-1
Cellulosimicrobium protaetiae,NA,NA,NA,NA,NA,NA,NA
Cellulosimicrobium terreum,positive,no,coccus,mesophilic,NA,no,BSL-1
Cellvibrio fibrivorans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellvibrio fontiphilus,negative,yes,rod,NA,NA,NA,NA
Cellvibrio fulvus,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Cellvibrio gandavensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellvibrio japonicus,negative,yes,rod,NA,NA,no,NA
Cellvibrio mixtus,NA,NA,NA,NA,NA,NA,BSL-1
Cellvibrio ostraviensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cellvibrio polysaccharolyticus,NA,NA,NA,NA,NA,NA,NA
Cellvibrio vulgaris,NA,NA,NA,NA,NA,NA,NA
Cellvibrio zantedeschiae,NA,NA,NA,NA,NA,NA,BSL-1
Centipeda periodontii,NA,NA,NA,mesophilic,NA,NA,BSL-2
Cephaloticoccus capnophilus,negative,no,coccus,NA,NA,NA,BSL-1
Cephaloticoccus primus,negative,no,coccus,NA,NA,NA,NA
Cerasibacillus quisquiliarum,positive,yes,rod,mesophilic,NA,yes,BSL-1
Cerasibacillus terrae,NA,NA,NA,mesophilic,NA,NA,NA
Cerasicoccus arenae,negative,no,coccus,NA,NA,no,NA
Cerasicoccus frondis,NA,NA,NA,mesophilic,NA,NA,NA
Cerasicoccus maritimus,NA,NA,NA,psychrophilic,NA,NA,NA
Cereibacter azotoformans,NA,NA,NA,mesophilic,NA,NA,NA
Cereibacter changlensis,negative,no,rod,NA,NA,no,BSL-1
Cereibacter johrii,negative,yes,ovoid,mesophilic,NA,yes,BSL-1
Cereibacter ovatus,negative,no,ovoid,mesophilic,NA,NA,NA
Cereibacter sphaeroides,NA,NA,NA,NA,NA,NA,NA
Cesiribacter andamanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Cesiribacter roseus,negative,yes,rod,NA,NA,NA,NA
Cetia pacifica,NA,NA,NA,thermophilic,NA,NA,BSL-1
Cetobacterium ceti,NA,NA,NA,NA,NA,NA,BSL-2
Cetobacterium somerae,NA,NA,NA,mesophilic,NA,NA,NA
Chachezhania antarctica,NA,NA,NA,NA,NA,NA,NA
Chachezhania sediminis,NA,NA,NA,NA,NA,NA,NA
Chakrabartia godavariana,NA,NA,NA,NA,NA,NA,NA
Changchengzhania lutea,negative,no,rod,NA,NA,NA,NA
Chania multitudinisentens,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chelativorans composti,positive,no,ovoid,NA,NA,no,NA
Chelativorans intermedius,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chelativorans multitrophicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chelatococcus asaccharovorans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chelatococcus caeni,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chelatococcus composti,negative,yes,rod,NA,NA,NA,BSL-1
Chelatococcus daeguensis,negative,NA,rod,mesophilic,NA,no,BSL-1
Chelatococcus reniformis,NA,NA,NA,NA,NA,NA,NA
Chelatococcus sambhunathii,negative,yes,rod,thermophilic,NA,no,BSL-1
Chelatococcus thermostellatus,NA,NA,NA,thermophilic,NA,NA,NA
Chelonobacter oris,negative,no,rod,mesophilic,NA,NA,BSL-2
Chenggangzhangella methanolivorans,negative,no,rod,NA,NA,no,BSL-1
Chengkuizengella marina,positive,yes,rod,NA,NA,yes,NA
Chengkuizengella sediminis,positive,yes,rod,NA,NA,yes,NA
Chiayiivirga flava,negative,no,rod,mesophilic,NA,no,BSL-1
Chimaeribacter arupi,NA,NA,NA,NA,NA,NA,NA
Chimaeribacter californicus,NA,NA,NA,NA,NA,NA,NA
Chimaeribacter coloradensis,NA,NA,NA,NA,NA,NA,NA
Chioneia algoris,NA,NA,NA,NA,NA,NA,NA
Chioneia brumae,NA,NA,NA,NA,NA,NA,NA
Chioneia frigida,NA,NA,NA,NA,NA,NA,NA
Chioneia hiemis,NA,NA,NA,NA,NA,NA,NA
Chishuiella changwenlii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinasiproducens palmae,NA,NA,NA,mesophilic,NA,NA,NA
Chitinibacter alvei,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chitinibacter bivalviorum,NA,NA,NA,NA,NA,NA,NA
Chitinibacter fontanus,negative,yes,rod,NA,NA,NA,BSL-1
Chitinibacter tainanensis,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chitinilyticum aquatile,negative,yes,rod,mesophilic,NA,no,BSL-1
Chitinilyticum litopenaei,negative,yes,rod,mesophilic,NA,no,BSL-1
Chitinilyticum piscinae,NA,NA,NA,NA,NA,NA,NA
Chitinimonas arctica,NA,NA,NA,mesophilic,NA,NA,NA
Chitinimonas koreensis,negative,yes,NA,mesophilic,NA,NA,BSL-1
Chitinimonas lacunae,negative,no,rod,NA,NA,NA,NA
Chitinimonas naiadis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinimonas prasina,NA,NA,NA,NA,NA,NA,BSL-1
Chitinimonas taiwanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinimonas viridis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitiniphilus eburneus,NA,NA,NA,mesophilic,NA,NA,NA
Chitiniphilus shinanonensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinispirillum alkaliphilum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinivibrio alkaliphilus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinivorax tropicus,negative,yes,rod,mesophilic,NA,no,BSL-1
Chitinophaga alhagiae,negative,NA,rod,NA,NA,NA,NA
Chitinophaga arvensicola,NA,NA,NA,mesophilic,NA,NA,NA
Chitinophaga barathri,NA,NA,NA,NA,NA,NA,BSL-1
Chitinophaga caeni,negative,NA,rod,mesophilic,NA,no,NA
Chitinophaga caseinilytica,NA,NA,NA,NA,NA,NA,NA
Chitinophaga costaii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinophaga cymbidii,negative,no,rod,NA,NA,no,NA
Chitinophaga deserti,negative,no,rod,NA,NA,no,NA
Chitinophaga dinghuensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinophaga eiseniae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinophaga filiformis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinophaga flava,NA,NA,NA,NA,NA,NA,NA
Chitinophaga fulva,NA,NA,NA,NA,NA,NA,NA
Chitinophaga ginsengihumi,NA,NA,NA,NA,NA,NA,BSL-1
Chitinophaga ginsengisegetis,negative,no,rod,mesophilic,NA,no,BSL-1
Chitinophaga ginsengisoli,NA,no,rod,mesophilic,NA,NA,BSL-1
Chitinophaga hostae,NA,NA,NA,NA,NA,NA,NA
Chitinophaga humicola,negative,no,rod,NA,NA,no,NA
Chitinophaga japonensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinophaga jiangningensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinophaga lutea,negative,no,rod,NA,NA,NA,NA
Chitinophaga niabensis,negative,no,rod,mesophilic,NA,NA,BSL-1
Chitinophaga niastensis,negative,no,rod,mesophilic,NA,NA,BSL-1
Chitinophaga oryzae,NA,NA,NA,NA,NA,NA,NA
Chitinophaga oryziterrae,negative,no,rod,NA,NA,NA,NA
Chitinophaga parva,negative,no,rod,NA,NA,no,NA
Chitinophaga pinensis,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Chitinophaga polysaccharea,NA,NA,NA,NA,NA,NA,BSL-1
Chitinophaga qingshengii,NA,NA,NA,mesophilic,NA,NA,NA
Chitinophaga rhizophila,NA,NA,NA,NA,NA,NA,NA
Chitinophaga rhizosphaerae,negative,NA,rod,NA,NA,no,NA
Chitinophaga rupis,negative,no,rod,mesophilic,NA,NA,BSL-1
Chitinophaga salinisoli,NA,NA,NA,mesophilic,NA,NA,NA
Chitinophaga sancti,NA,NA,NA,mesophilic,NA,NA,NA
Chitinophaga sedimenti,negative,no,rod,NA,NA,no,NA
Chitinophaga silvatica,NA,NA,NA,NA,NA,NA,NA
Chitinophaga silvisoli,negative,yes,rod,NA,NA,NA,NA
Chitinophaga skermanii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chitinophaga solisilvae,NA,NA,NA,NA,NA,NA,NA
Chitinophaga taiwanensis,NA,NA,NA,mesophilic,NA,NA,NA
Chitinophaga terrae,negative,no,rod,mesophilic,NA,no,BSL-1
Chitinophaga tropicalis,NA,NA,NA,NA,NA,NA,NA
Chitinophaga varians,negative,yes,NA,NA,NA,NA,NA
Chitinophaga vietnamensis,NA,NA,NA,NA,NA,NA,NA
Chlamydia abortus,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chlamydia avium,NA,NA,NA,mesophilic,NA,NA,NA
Chlamydia felis,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chlamydia gallinacea,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chlamydia muridarum,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chlamydia pecorum,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chlamydia pneumoniae,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chlamydia poikilotherma,NA,NA,NA,mesophilic,NA,NA,NA
Chlamydia psittaci,NA,NA,NA,NA,NA,NA,NA
Chlamydia suis,NA,NA,NA,NA,NA,NA,BSL-2
Chlamydia trachomatis,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chlamydophila caviae,NA,NA,NA,mesophilic,NA,NA,BSL-2
Chloracidobacterium thermophilum,NA,NA,NA,thermophilic,NA,NA,NA
Chlorobaculum limnaeum,NA,no,rod,mesophilic,NA,NA,BSL-1
Chlorobaculum parvum,NA,no,rod,mesophilic,NA,NA,BSL-1
Chlorobaculum tepidum,NA,NA,NA,thermophilic,NA,NA,BSL-1
Chlorobaculum thiosulfatiphilum,NA,no,rod,mesophilic,NA,NA,BSL-1
Chlorobium chlorovibrioides,NA,NA,NA,NA,NA,NA,BSL-1
Chlorobium ferrooxidans,NA,NA,NA,NA,NA,NA,NA
Chlorobium limicola,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chlorobium luteolum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chlorobium phaeobacteroides,NA,NA,NA,NA,NA,NA,BSL-1
Chlorobium phaeovibrioides,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chloroflexus aggregans,NA,NA,NA,thermophilic,NA,NA,BSL-1
Chloroflexus aurantiacus,NA,NA,NA,thermophilic,NA,NA,BSL-1
Chloroflexus islandicus,negative,yes,NA,thermophilic,NA,no,BSL-1
Chloroherpeton thalassium,NA,NA,NA,NA,NA,NA,BSL-1
Chondromyces apiculatus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chondromyces crocatus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chondromyces lanuginosus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chondromyces pediculatus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chondromyces robustus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Christensenella hongkongensis,NA,NA,NA,NA,NA,NA,NA
Christensenella intestinihominis,NA,NA,NA,mesophilic,NA,NA,NA
Christensenella massiliensis,NA,NA,NA,mesophilic,NA,NA,NA
Christensenella minuta,negative,no,rod,mesophilic,NA,no,BSL-1
Christensenella tenuis,NA,NA,NA,NA,NA,NA,NA
Christensenella timonensis,NA,NA,NA,mesophilic,NA,NA,NA
Chromatium okenii,NA,NA,NA,NA,NA,NA,BSL-1
Chromatium weissei,NA,NA,NA,NA,NA,NA,BSL-1
Chromatocurvus halotolerans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chromobacterium alkanivorans,negative,yes,rod,NA,NA,NA,NA
Chromobacterium alticapitis,NA,NA,NA,NA,NA,NA,NA
Chromobacterium amazonense,NA,NA,NA,mesophilic,NA,NA,NA
Chromobacterium aquaticum,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chromobacterium haemolyticum,negative,NA,rod,mesophilic,NA,NA,BSL-1
Chromobacterium paludis,NA,NA,NA,mesophilic,NA,NA,NA
Chromobacterium phragmitis,negative,yes,rod,mesophilic,NA,NA,NA
Chromobacterium piscinae,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chromobacterium rhizoryzae,negative,yes,rod,NA,NA,NA,NA
Chromobacterium sinusclupearum,NA,NA,NA,NA,NA,NA,NA
Chromobacterium sphagni,NA,NA,NA,mesophilic,NA,NA,NA
Chromobacterium subtsugae,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chromobacterium vaccinii,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chromobacterium violaceum,NA,NA,NA,mesophilic,NA,NA,NA
Chromohalobacter beijerinckii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chromohalobacter canadensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chromohalobacter israelensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chromohalobacter japonicus,negative,yes,rod,mesophilic,NA,no,NA
Chromohalobacter marismortui,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chromohalobacter moromii,NA,NA,NA,NA,NA,NA,NA
Chromohalobacter nigrandesensis,negative,yes,rod,mesophilic,NA,no,BSL-1
Chromohalobacter salexigens,NA,NA,NA,mesophilic,NA,NA,NA
Chromohalobacter sarecensis,negative,yes,rod,mesophilic,NA,NA,BSL-1
Chroococcidiopsis cubana,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Chryseobacterium aahli,NA,NA,NA,NA,NA,NA,BSL-1
Chryseobacterium angstadtii,negative,no,rod,NA,NA,no,NA
Chryseobacterium antarcticum,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Chryseobacterium anthropi,NA,NA,NA,mesophilic,NA,NA,NA
Chryseobacterium antibioticum,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium aquaeductus,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium aquaticum,negative,no,rod,NA,NA,no,NA
Chryseobacterium aquifrigidense,negative,no,rod,NA,NA,NA,NA
Chryseobacterium arachidiradicis,NA,NA,NA,NA,NA,NA,BSL-1
Chryseobacterium arachidis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chryseobacterium arthrosphaerae,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium artocarpi,NA,NA,NA,NA,NA,NA,BSL-1
Chryseobacterium aurantiacum,negative,no,rod,mesophilic,NA,no,NA
Chryseobacterium aureum,negative,no,rod,mesophilic,NA,no,NA
Chryseobacterium balustinum,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium bernardetii,negative,no,NA,NA,NA,NA,NA
Chryseobacterium binzhouense,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium bovis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chryseobacterium buanense,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chryseobacterium caeni,negative,no,rod,mesophilic,NA,no,BSL-1
Chryseobacterium camelliae,NA,NA,NA,mesophilic,NA,NA,NA
Chryseobacterium candidae,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium capnotolerans,NA,NA,NA,mesophilic,NA,NA,NA
Chryseobacterium carnipullorum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chryseobacterium carnis,NA,NA,NA,mesophilic,NA,NA,NA
Chryseobacterium caseinilyticum,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium chaponense,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chryseobacterium cheonjiense,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium contaminans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Chryseobacterium cucumeris,negative,no,rod,NA,NA,NA,NA
Chryseobacterium culicis,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium daecheongense,NA,no,rod,mesophilic,NA,no,BSL-1
Chryseobacterium daeguense,negative,no,rod,mesophilic,NA,no,BSL-1
Chryseobacterium defluvii,NA,no,rod,mesophilic,NA,no,BSL-1
