Species,anthropic/claude-3-sonnet,anthropic/claude-sonnet-4,deepseek/deepseek-chat-v3-0324,deepseek/deepseek-r1-0528,google/gemini-2.5-flash,google/gemini-2.5-flash-lite,google/gemma-3-27b-it,meta-llama/llama-3.3-70b-instruct,mistralai/mistral-nemo,moonshotai/kimi-k2,openai/gpt-4,openai/gpt-4.1,openai/gpt-4.1-nano,openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-5,openai/gpt-5-nano,openai/gpt-oss-120b,openai/gpt-oss-20b,openai/o4-mini,perplexity/sonar-reasoning-pro,x-ai/grok-3-mini
Dickeya solani,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,Extensive,NA,No Result,Extensive,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive
Neisseria subflava,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Limited,Extensive,Extensive,Moderate,Limited,Extensive
Xanthomonas fragariae,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate
Staphylococcus chromogenes,Moderate,Moderate,Moderate,Extensive,Limited,Extensive,Moderate,Moderate,Moderate,Extensive,NA,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate
Bacillus toyonensis,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Extensive,Limited,Moderate,Moderate,Moderate
Mycobacterium scrofulaceum,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Limited,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,Limited,Extensive
Pandoraea pnomenusa,Moderate,Limited,Moderate,Extensive,Limited,Limited,Moderate,NA,Limited,Moderate,Limited,No Result,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Limited,NA
Pseudomonas veronii,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Streptomyces scabiei,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Limited,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Paenibacillus alvei,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,NA,No Result,Extensive,Moderate,Moderate,Moderate,Limited,Extensive,Extensive,Moderate,Moderate,Moderate
Staphylococcus caprae,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate
Prevotella oris,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,NA,Moderate,Moderate,Moderate,Limited,Extensive
Streptomyces kanamyceticus,Extensive,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Limited,Extensive
Bifidobacterium thermophilum,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Limited,Moderate,No Result,Moderate,Moderate,Moderate,Moderate,NA,Moderate,Limited,Moderate,Limited,Moderate
Capnocytophaga ochracea,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate
Neisseria mucosa,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Moderate,Limited,Extensive
Pseudomonas oryzihabitans,Moderate,Moderate,Moderate,Extensive,Moderate,Limited,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate
Pseudomonas marginalis,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Arthrobacter psychrolactophilus,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,NA,Limited,Limited,Limited,Limited,Moderate
Mycobacterium simiae,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate
Streptomyces nodosus,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Limited,Extensive
Pseudomonas brassicacearum,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Bacillus vallismortis,Moderate,Moderate,Moderate,Extensive,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Nitrobacter winogradskyi,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Limited,Extensive
Deinococcus geothermalis,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Limited,Moderate
Edwardsiella piscicida,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Moderate,Extensive,Extensive
[Clostridium] innocuum,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate
Pseudomonas monteilii,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Hydrogenovibrio crunogenus,Limited,Limited,Moderate,Moderate,NA,Limited,Moderate,Limited,Moderate,Extensive,Limited,No Result,Moderate,Moderate,Moderate,Moderate,NA,Moderate,Limited,Moderate,Limited,Limited
Staphylococcus pasteuri,Moderate,Limited,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Serratia rubidaea,Limited,Moderate,Moderate,Extensive,Limited,Moderate,Extensive,Moderate,Moderate,Moderate,NA,No Result,Extensive,Moderate,Extensive,Moderate,Limited,Moderate,Extensive,Moderate,Limited,Moderate
Acinetobacter nosocomialis,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive
Stenotrophomonas rhizophila,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Listeria welshimeri,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Xanthomonas perforans,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Priestia flexa,Limited,Limited,Limited,Moderate,NA,Moderate,Moderate,Limited,Moderate,Limited,NA,No Result,Moderate,Limited,Moderate,NA,NA,Limited,Limited,Limited,Limited,NA
Rickettsia sibirica,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate
Novosphingobium aromaticivorans,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate
Helicobacter heilmannii,Moderate,Limited,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Lactiplantibacillus pentosus,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Corynebacterium amycolatum,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive
Xanthomonas phaseoli,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Moderate,Limited,Extensive,Extensive,NA,Moderate,Extensive,Moderate,NA,Extensive
Pseudomonas nitroreducens,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Moderate,Moderate,Moderate,Extensive,NA,Moderate,Moderate,Moderate,Limited,Moderate
Cellvibrio japonicus,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Latilactobacillus sakei,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptomyces alboniger,Extensive,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,NA,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Extensive,Limited,Extensive
Bartonella vinsonii,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Limited,Moderate
Geobacillus thermoleovorans,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive
Lentilactobacillus buchneri,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Raoultella terrigena,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Kocuria flava,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,Limited,NA,Limited,Limited,Moderate,Limited,Moderate
Streptococcus parauberis,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Limited,Moderate,Moderate,Extensive,Moderate,Extensive
Dickeya zeae,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Glaesserella parasuis,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Campylobacter upsaliensis,Moderate,Moderate,Moderate,Extensive,Limited,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive
Pseudomonas citronellolis,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Comamonas thiooxydans,Moderate,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Limited,No Result,Moderate,Limited,Extensive,NA,NA,Moderate,Limited,Limited,Limited,Moderate
Listeria seeligeri,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Limited,Extensive,Moderate,Moderate
Streptomyces tendae,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Limited,Moderate,Moderate,Extensive,Limited,Moderate
Actinomadura madurae,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,Extensive,NA,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Brevibacterium casei,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,NA,No Result,Moderate,Limited,Moderate,NA,Limited,Limited,Limited,Moderate,Moderate,Moderate
Brevibacillus reuszeri,Moderate,Limited,NA,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,NA,No Result,Moderate,Limited,Extensive,Limited,NA,NA,Limited,Limited,Limited,Limited
Bacteroides xylanisolvens,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,Limited,Extensive
Borreliella burgdorferi,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Photobacterium profundum,Moderate,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Moderate,Moderate,Limited,Extensive
Photobacterium kishitanii,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,Moderate,Moderate,NA,No Result,Moderate,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate
Clostridium tertium,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,Limited,Moderate
Pseudomonas paraeruginosa,Moderate,Limited,Moderate,Limited,NA,Extensive,Moderate,NA,Extensive,NA,NA,No Result,Extensive,NA,Extensive,NA,NA,NA,Moderate,NA,Limited,NA
Fusobacterium varium,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Moderate,Moderate,Extensive,Extensive,Limited,Extensive,Limited,Extensive,Limited,Moderate
Ensifer adhaerens,Moderate,Moderate,Moderate,Extensive,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,NA,Moderate,Moderate,Moderate,NA,Moderate
Rickettsia massiliae,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Extensive,Limited,Moderate
Planococcus rifietoensis,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,NA,Moderate,Limited,NA,No Result,NA,Limited,Limited,Moderate,NA,NA,Limited,NA,Limited,Limited
Rubrivivax gelatinosus,Moderate,Moderate,Moderate,Moderate,NA,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Moderate,Moderate
Burkholderia contaminans,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Bacillus paramycoides,Moderate,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Limited,Moderate,Moderate,Limited,No Result,Extensive,Limited,Moderate,Moderate,Limited,Moderate,Limited,Limited,Limited,Moderate
Alteromonas naphthalenivorans,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Moderate,Limited,Extensive,NA,Limited,Moderate,Moderate,Moderate,Limited,Moderate
Bacillus halotolerans,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate
Streptomyces platensis,Extensive,Limited,Moderate,Moderate,Extensive,Limited,Moderate,Extensive,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,NA,Extensive,Limited,Extensive,Limited,Extensive
Streptomyces parvulus,Extensive,Limited,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Limited,Moderate
Caulobacter flavus,Moderate,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,Moderate,Limited,Extensive,Limited,NA,NA,Limited,Limited,Limited,Moderate
Bartonella apis,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate,Limited,Limited
Vibrio furnissii,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Capnocytophaga gingivalis,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,NA,No Result,Extensive,Moderate,Moderate,Extensive,Limited,Moderate,Extensive,Moderate,Moderate,Extensive
Macrococcus caseolyticus,Moderate,Limited,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate
Nitrosomonas eutropha,Extensive,Moderate,Moderate,Extensive,NA,Moderate,Extensive,Moderate,Moderate,Extensive,Moderate,No Result,Moderate,Moderate,Extensive,Moderate,NA,Extensive,Moderate,Moderate,Limited,Moderate
Prevotella denticola,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,Limited,No Result,Extensive,Moderate,Extensive,Moderate,Limited,Extensive,Moderate,Moderate,Limited,NA
Sagittula stellata,Moderate,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Extensive,NA,No Result,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Limited,Limited,Limited,Moderate
Nitratireductor indicus,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,No Result,Moderate,Limited,Extensive,Limited,Limited,Limited,Limited,Limited,Limited,Limited
Weissella paramesenteroides,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Delftia tsuruhatensis,Moderate,Limited,Moderate,Extensive,Limited,Moderate,Moderate,Limited,Moderate,Moderate,NA,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate
Xenorhabdus khoisanae,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,No Result,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Limited,Limited,Moderate,Moderate
Fusobacterium ulcerans,Moderate,Limited,Limited,Moderate,NA,Limited,Moderate,Moderate,Limited,Limited,Limited,No Result,NA,Limited,Moderate,Limited,Limited,NA,Extensive,NA,NA,NA
Celeribacter baekdonensis,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited
Bacillus sonorensis,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited,No Result,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Limited,Moderate,Limited,Moderate
Proteus hauseri,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,NA,Moderate,Moderate,NA,No Result,Moderate,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate
Chryseobacterium joostei,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,No Result,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited
Streptococcus infantarius,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Nocardia nova,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate
Burkholderia pyrrocinia,Moderate,Limited,Moderate,Extensive,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,NA,No Result,Extensive,Moderate,Extensive,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Moderate
Shewanella loihica,Moderate,Limited,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,No Result,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Extensive
Helicobacter mustelae,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Extensive,Moderate,Moderate,Limited,Moderate
Mycobacterium malmoense,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Moderate,Limited,Extensive
Achromobacter denitrificans,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive,Extensive,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,NA,Moderate
Anaeromyxobacter dehalogenans,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,Limited,Moderate
Staphylococcus arlettae,Limited,Limited,Moderate,Moderate,NA,Moderate,Moderate,Extensive,Limited,Moderate,Limited,No Result,Extensive,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate
Erwinia tracheiphila,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Extensive,Limited,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate
Enterobacter cancerogenus,Limited,Limited,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate
Streptomyces tsukubensis,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,NA,NA,Extensive,Moderate,Moderate,NA,Extensive
Campylobacter gracilis,Moderate,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Limited,No Result,Moderate,Moderate,Limited,Moderate,Limited,Moderate,Limited,Moderate,Limited,Moderate
Actinomadura darangshiensis,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,No Result,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited
Shewanella frigidimarina,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Kribbella pittospori,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,NA,No Result,NA,Limited,Moderate,Limited,NA,Limited,Limited,Limited,Limited,Limited
Xenorhabdus bovienii,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate
Nocardia cyriacigeorgica,Limited,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,Moderate
Gordonia lacunae,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,No Result,Moderate,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited
Enterobacter kobei,Moderate,Limited,Moderate,Extensive,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Extensive,Moderate,Moderate,Extensive,Limited,Moderate,Limited,Moderate
Helicobacter bilis,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Limited,Moderate
Klebsiella michiganensis,Moderate,Moderate,Moderate,Moderate,NA,Moderate,Moderate,Moderate,NA,Moderate,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Moderate,Extensive,Moderate,Moderate,Limited,Moderate
