Sample,openai/gpt-5-nano,openai/gpt-5,x-ai/grok-4,perplexity/sonar-reasoning-pro,openai/gpt-oss-120b,openai/o1-mini,microsoft/phi-4,openai/o3,x-ai/grok-3-mini-beta,x-ai/grok-3-mini,deepseek/deepseek-chat,deepseek/deepseek-r1,x-ai/grok-3-beta,x-ai/grok-3,openai/o4-mini,openai/o3-mini,google/gemini-2.5-flash,openai/gpt-4,google/gemini-2.0-flash-lite-001,deepseek/deepseek-chat-v3-0324,openai/o3-mini-high,qwen/qwen3-14b,openai/gpt-4o-mini-search-preview,perplexity/r1-1776,openai/gpt-4.1-nano,mistralai/mistral-7b-instruct-v0.3,openai/gpt-4o,meta-llama/llama-3.3-70b-instruct,x-ai/grok-2-1212,anthropic/claude-3.7-sonnet:thinking,openai/gpt-oss-20b,deepseek/deepseek-r1-0528,nousresearch/hermes-3-llama-3.1-70b,google/gemini-2.5-pro,google/gemini-2.5-pro-preview,anthropic/claude-sonnet-4,perplexity/sonar,meta-llama/llama-4-scout,moonshotai/kimi-k2,anthropic/claude-3.5-sonnet,google/gemini-2.0-flash-001,openai/gpt-4.1,anthropic/claude-3.7-sonnet,deepseek/deepseek-chat-v3.1,google/gemini-2.5-flash-lite,meta-llama/llama-3-70b-instruct,openai/gpt-4o-mini,google/gemma-3-12b-it,google/gemma-3-4b-it,anthropic/claude-3.5-haiku,anthropic/claude-3-haiku:beta,meta-llama/llama-3.1-8b-instruct,google/gemma-3-27b-it,anthropic/claude-3-sonnet,mistralai/mistral-nemo,meta-llama/llama-3-8b-instruct,meta-llama/llama-3.2-3b-instruct
Gelubacillus frigidus,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,NA,NA,NA,Limited,Limited,Limited,Moderate,Limited,Limited,NA,NA,Limited,NA,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Moderate
Umbralevi umbrarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Extensive,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,NA,Limited,Moderate,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited
Caelibacter caeli,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Moderate,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Limited,NA,Moderate,Limited
Aquilonifer borealis,NA,NA,NA,NA,NA,Limited,Extensive,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Moderate,Limited,NA,NA,NA,Limited,NA,NA,NA,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate
Luminoflora lux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,NA,Limited,NA,NA,Limited
Stellibacter astrum,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,Limited,NA,Limited,NA,Limited,Limited,NA,NA,Limited,Limited,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited
Crescobacter cresco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Moderate
Flammabacter ignis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited
Monticola montis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate
Silvarumcella foresta,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited
Ventusospira venti,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Limited,NA,Moderate
Arboribacter ligni,NA,NA,NA,Limited,Limited,Limited,NA,NA,NA,NA,Limited,Moderate,NA,NA,NA,Limited,NA,Limited,NA,Limited,Limited,NA,NA,Limited,NA,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited
Siderosoma ferri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,Limited,Limited,NA,Limited,Limited,NA,NA,NA,Limited,NA,Limited,Moderate,NA,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate
Fluminibacter fluvii,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,NA,NA,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate
Glaeciabacter glacies,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,Limited,NA,Moderate,Moderate,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate
Ferrivibrio ferrum,NA,NA,NA,Moderate,NA,Limited,Moderate,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Inference Failed,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Extensive,Moderate,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Temporibacter tempus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,NA,NA,Moderate,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited
Radiobacillus radio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,NA,Limited,NA,NA,NA,NA,Limited,Moderate,Limited,Limited,NA,Limited,Moderate,Limited,Moderate,NA,Limited
Ignispirillum igneus,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,NA,NA,NA,NA,Limited,Limited,Limited,NA,NA,NA,Limited,Moderate,NA,NA,Limited,NA,Limited,Limited,NA,NA,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Extensive,Moderate,Moderate,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Limited
Niveococcus niveus,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate
Heliosoma solis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,NA,NA,NA,Limited
Aquaspira aquae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,NA,Limited,Limited,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,NA,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Moderate
Glaciigenium glacialis,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,NA,NA,Limited,NA,Limited,Limited,Moderate,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Extensive,Limited,Moderate
Caelumcoccus aether,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,Limited,NA,Limited,Limited
Lunabacter lunae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,NA,Moderate,Limited,Limited,Moderate,Moderate
Terrafermentum terra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,Limited,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Moderate,NA,NA,Limited,Limited,Moderate,Moderate,Limited,NA,Limited,Limited
Phosphoribacter phosphorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,Moderate,NA,Limited,NA,NA,NA,Limited,Limited,Limited,NA,NA,NA,NA,Limited,Moderate,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Extensive
Oralevi oralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,Limited,NA,Limited,NA,Limited,Limited,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Moderate,Moderate
Aestusbacter aestus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Inference Failed,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited
Nubibacter nubes,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Calorella calidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate
Tenebrisoma tenebrae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited
Polarisfermentum polus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,Moderate
Salumispira salum,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate
Nocticella noctis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,Limited,NA,NA,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,Moderate,Limited,Moderate
Firmamentibacter firmamentum,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Extensive,Moderate,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Moderate
Bacillus splendens,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,NA,NA,NA,Limited,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,Moderate,NA,Limited,NA,NA,Limited,Limited,Limited,NA,Moderate,Limited,Limited,Limited,Inference Failed,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Extensive,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate
Staphylococcus rapidus,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Moderate,NA,Limited,NA,NA,Limited,Limited,Limited,NA,Moderate,Moderate,Limited,NA,Limited,NA,Limited,Moderate,Limited,Limited,Limited,NA,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Inference Failed,Moderate,Moderate
Pseudomonas glaciei,NA,Limited,Limited,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,NA,Limited,Limited,Limited,NA,Limited,Moderate,Moderate,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate
Lactobacillus ardor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate,NA,NA,NA,NA,Limited,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,Moderate,Limited,NA,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Rhodobacter lumina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,NA,Moderate,NA,Limited,NA,NA,Moderate,NA,NA,NA,Limited,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,Moderate,Extensive,Moderate,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate
Escherichia albus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,NA,Extensive,NA,Extensive,Extensive,Extensive,Limited,NA,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptococcus unda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,NA,NA,NA,NA,Extensive,Extensive,Moderate,Limited,Limited,Moderate,Extensive,Moderate,Moderate,Limited,Moderate
Enterococcus zephyri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,NA,NA,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Moderate,Extensive,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate
Klebsiella silvae,NA,NA,Limited,NA,NA,NA,NA,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,Moderate,Limited,NA,Limited,Limited,Limited,Limited,NA,Extensive,Extensive,Limited,NA,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Serratia saxi,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,NA,NA,Limited,Limited,Moderate,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Extensive,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate
Acinetobacter fulgor,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Moderate,NA,NA,Limited,Limited,Limited,Limited,Limited,Moderate,NA,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Extensive,Extensive,Moderate,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Extensive
Corynebacterium nivalis,NA,NA,NA,NA,Limited,NA,NA,NA,Moderate,Moderate,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Limited
Legionella caloris,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,NA,NA,Limited,NA,NA,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate
Mycobacterium ferrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,Limited,Limited,Limited,Moderate,Extensive,Moderate,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Extensive,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Moderate
Clostridium frigidus,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,NA,Moderate,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate
Vibrio umbrarum,NA,NA,NA,NA,Moderate,NA,NA,NA,Moderate,Moderate,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,Moderate,NA,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Limited
Aeromonas caeli,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,NA,Limited,NA,NA,Moderate,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Campylobacter borealis,NA,NA,Limited,NA,Limited,NA,NA,Limited,Moderate,Moderate,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Moderate,Limited,NA,Limited,NA,Moderate,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Limited,Extensive,Extensive,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Limited
Helicobacter lux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Limited,Limited
Neisseria astrum,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Moderate,Moderate,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited
Salmonella cresco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,Moderate,NA,NA,NA,NA,Limited,NA,NA,Moderate,NA,NA,NA,NA,Extensive,NA,Limited,NA,NA,Limited,NA,Limited,Extensive,Limited,Moderate,Moderate,NA,Limited,Moderate,Moderate,Extensive,Extensive,Moderate,Moderate
Proteus ignis,No Result,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,NA,Limited,NA,Limited,Limited,Moderate,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate
Shigella montis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Moderate,Limited,Limited,NA,Limited,Moderate,Limited,Limited,NA,Limited,Limited,Limited,Limited,Extensive,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Limited,Moderate,Moderate
Haemophilus foresta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Moderate,Limited,Limited,Limited,NA,NA,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Yersinia venti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,Limited,Moderate,Moderate,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Moderate,Moderate,Moderate,Limited
