Binomial name	NCBI_ID	Motility	Gram staining	Aerophilicity	Extreme environment tolerance	Biofilm formation	Animal pathogenicity	Biosafety level	Health association	Host association	Plant pathogenicity	Spore formation	Hemolysis	Cell shape	Member of WA subset	Superkingdom	Phylum	Class	Order	Family	Genus	Species	FTP path	Fasta file
Nocardia amamiensis	404578	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	NA	NA	bacillus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia amamiensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/477/605/GCA_015477605.1_ASM1547760v1	GCA_015477605.1_ASM1547760v1_genomic.fasta
Pararhodobacter aggregans	404875	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	NA	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pararhodobacter	Pararhodobacter aggregans	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/005/GCF_003054005.1_ASM305400v1	GCF_003054005.1_ASM305400v1_genomic.fasta
Anoxybacillus thermarum	404937	TRUE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus thermarum	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/836/725/GCA_000836725.1_ASM83672v1	GCA_000836725.1_ASM83672v1_genomic.fasta
Methylobacillus flagellatus	405	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Methylobacillus flagellatus	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/344/055/GCA_031344055.1_ASM3134405v1	GCA_031344055.1_ASM3134405v1_genomic.fasta
Gordonia hydrophobica	40516	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia hydrophobica	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/909/615/GCA_016909615.1_ASM1690961v1	GCA_016909615.1_ASM1690961v1_genomic.fasta
Actinopolyspora xinjiangensis	405564	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Actinopolysporales	Actinopolysporaceae	Actinopolyspora	Actinopolyspora xinjiangensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/104/475/GCA_900104475.1_IMG-taxon_2619619031_annotated_assembly	GCA_900104475.1_IMG-taxon_2619619031_annotated_assembly_genomic.fasta
Zoogloea resiniphila	40561	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea	Zoogloea resiniphila	NA	NA
Xenorhabdus poinarii	40577	TRUE	gram stain negative	aerobic	FALSE	NA	TRUE	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus poinarii	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/648/035/GCA_016648035.1_ASM1664803v1	GCA_016648035.1_ASM1664803v1_genomic.fasta
Xenorhabdus beddingii	40578	TRUE	gram stain negative	aerobic	FALSE	NA	TRUE	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus beddingii	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/127/545/GCF_002127545.1_ASM212754v1	GCF_002127545.1_ASM212754v1_genomic.fasta
Methylobacillus glycogenes	406	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Methylobacillus glycogenes	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/790/465/GCA_016790465.1_ASM1679046v1	GCA_016790465.1_ASM1679046v1_genomic.fasta
Sphingomonas mali	40682	TRUE	gram stain negative	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	NA	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas mali	NA	NA
Sphingomonas pruni	40683	TRUE	gram stain negative	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	NA	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas pruni	NA	NA
Olivibacter domesticus	407022	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	NA	FALSE	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	Olivibacter domesticus	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/575/GCA_900109575.1_IMG-taxon_2599185177_annotated_assembly	GCA_900109575.1_IMG-taxon_2599185177_annotated_assembly_genomic.fasta
Kitasatospora kazusensis	407974	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	tail	FALSE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Kitasatospora	Kitasatospora kazusensis	NA	NA
Methylorubrum extorquens	408	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum extorquens	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/062/705/GCF_030062705.1_ASM3006270v1	GCF_030062705.1_ASM3006270v1_genomic.fasta
Streptomyces xiamenensis	408015	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces xiamenensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/785/GCA_000993785.3_ASM99378v3	GCA_000993785.3_ASM99378v3_genomic.fasta
Thiomonas thermosulfata	40991	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	Thiomonas	Thiomonas thermosulfata	NA	NA
Methylobacterium organophilum	410	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium organophilum	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/533/465/GCA_022533465.1_ASM2253346v1	GCA_022533465.1_ASM2253346v1_genomic.fasta
Gordonia malaquae	410332	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia malaquae	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/148/075/GCF_037148075.1_ASM3714807v1	GCF_037148075.1_ASM3714807v1_genomic.fasta
Mesorhizobium tarimense	410755	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	TRUE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium tarimense	NA	NA
Mesorhizobium gobiense	410756	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	TRUE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium gobiense	NA	NA
Kaistia geumhonensis	410839	FALSE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Kaistiaceae	Kaistia	Kaistia geumhonensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/344/055/GCF_026344055.1_ASM2634405v1	GCF_026344055.1_ASM2634405v1_genomic.fasta
Exiguobacterium acetylicum	41170	TRUE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Bacillota	Bacilli	Bacillales	NA	Exiguobacterium	Exiguobacterium acetylicum	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/604/565/GCA_018604565.1_ASM1860456v1	GCA_018604565.1_ASM1860456v1_genomic.fasta
Rhizobium miluonense	411945	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium miluonense	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/094/545/GCA_900094545.1_IMG-taxon_2617270742_annotated_assembly	GCA_900094545.1_IMG-taxon_2617270742_annotated_assembly_genomic.fasta
Ewingella americana	41202	TRUE	gram stain negative	aerobic	NA	NA	TRUE	biosafety level 1	NA	NA	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Ewingella	Ewingella americana	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/233/485/GCA_014233485.1_ASM1423348v1	GCA_014233485.1_ASM1423348v1_genomic.fasta
Sphingobacterium canadense	412448	FALSE	gram stain negative	aerobic	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium canadense	NA	NA
Humibacillus xanthopallidus	412689	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	coccus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Humibacillus	Humibacillus xanthopallidus	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/717/145/GCF_006717145.1_ASM671714v1	GCF_006717145.1_ASM671714v1_genomic.fasta
Brevundimonas vesicularis	41276	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 2	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/825/GCF_002208825.2_ASM220882v2	GCF_002208825.2_ASM220882v2_genomic.fasta
Vibrio comitans	413401	FALSE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio comitans	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/346/835/GCF_024346835.1_ASM2434683v1	GCF_024346835.1_ASM2434683v1_genomic.fasta
Halorubrum halophilum	413816	FALSE	gram stain negative	aerobic	TRUE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum halophilum	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/595/GCA_000739595.1_ASM73959v1	GCA_000739595.1_ASM73959v1_genomic.fasta
Actinopolyspora erythraea	414996	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Actinopolysporales	Actinopolysporaceae	Actinopolyspora	Actinopolyspora erythraea	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/515/GCF_002263515.1_ASM226351v1	GCF_002263515.1_ASM226351v1_genomic.fasta
Microbacterium marinilacus	415209	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium marinilacus	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/753/765/GCA_019753765.1_ASM1975376v1	GCA_019753765.1_ASM1975376v1_genomic.fasta
Microbacterium sediminicola	415210	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sediminicola	NA	NA
Microbacterium awajiense	415214	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium awajiense	NA	NA
Microbacterium flavum	415216	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	FALSE	FALSE	NA	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium flavum	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/717/645/GCA_018717645.1_ASM1871764v1	GCA_018717645.1_ASM1871764v1_genomic.fasta
Brachybacterium zhongshanense	416230	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	NA	TRUE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium zhongshanense	NA	NA
Gordonia lacunae	417102	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	gamma	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia lacunae	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/149/015/GCF_002149015.1_ASM214901v1	GCF_002149015.1_ASM214901v1_genomic.fasta
Methanosarcina subterranea	418010	FALSE	NA	anaerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	NA	NA	coccus	FALSE	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina subterranea	NA	NA
Methylobacterium phyllosphaerae	418223	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium phyllosphaerae	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/175/GCF_001936175.1_ASM193617v1	GCF_001936175.1_ASM193617v1_genomic.fasta
Saccharopolyspora cebuensis	418759	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	bacillus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora cebuensis	NA	NA
Burkholderia plantarii	41899	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	TRUE	TRUE	FALSE	gamma	bacillus	TRUE	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia plantarii	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/411/805/GCF_001411805.1_ASM141180v1	GCF_001411805.1_ASM141180v1_genomic.fasta
Veillonella denticariosi	419208	FALSE	gram stain negative	anaerobic	FALSE	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	coccus	FALSE	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella denticariosi	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/938/028/215/GCA_938028215.1_ERR589609_bin.2_CONCOCT_v1.1_MAG	GCA_938028215.1_ERR589609_bin.2_CONCOCT_v1.1_MAG_genomic.fasta
Jiangella alkaliphila	419479	TRUE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Jiangellales	Jiangellaceae	Jiangella	Jiangella alkaliphila	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/105/925/GCA_900105925.1_IMG-taxon_2639762615_annotated_assembly	GCA_900105925.1_IMG-taxon_2639762615_annotated_assembly_genomic.fasta
Nonomuraea maheshkhaliensis	419590	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea maheshkhaliensis	NA	NA
Calidifontibacter indicus	419650	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	coccus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermacoccaceae	Calidifontibacter	Calidifontibacter indicus	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/386/865/GCF_003386865.1_ASM338686v1	GCF_003386865.1_ASM338686v1_genomic.fasta
Micromonospora lutea	419825	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora lutea	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/863/535/GCA_016863535.1_ASM1686353v1	GCA_016863535.1_ASM1686353v1_genomic.fasta
Agromyces fucosus	41985	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Agromyces	Agromyces fucosus	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/134/865/GCF_004134865.1_ASM413486v1	GCF_004134865.1_ASM413486v1_genomic.fasta
Cryobacterium psychrophilum	41988	TRUE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Cryobacterium	Cryobacterium psychrophilum	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/365/915/GCF_004365915.1_ASM436591v1	GCF_004365915.1_ASM436591v1_genomic.fasta
Marinobacterium rhizophilum	420402	TRUE	gram stain negative	aerobic	TRUE	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	NA	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium rhizophilum	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/397/915/GCF_024397915.1_ASM2439791v1	GCF_024397915.1_ASM2439791v1_genomic.fasta
Chromohalobacter marismortui	42055	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter marismortui	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/364/315/GCF_004364315.1_ASM436431v1	GCF_004364315.1_ASM436431v1_genomic.fasta
Oceanidesulfovibrio gabonensis	42056	TRUE	gram stain negative	anaerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oceanidesulfovibrio	Oceanidesulfovibrio gabonensis	NA	NA
Microbacterium marinum	421115	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	NA	TRUE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium marinum	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/268/495/GCA_023268495.1_ASM2326849v1	GCA_023268495.1_ASM2326849v1_genomic.fasta
Kaistella haifensis	421525	FALSE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Kaistella	Kaistella haifensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/816/015/GCF_003816015.1_ASM381601v1	GCF_003816015.1_ASM381601v1_genomic.fasta
Ponticoccus litoralis	422297	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Ponticoccus	Ponticoccus litoralis	NA	NA
Spirilliplanes yamanashiensis	42233	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Spirilliplanes	Spirilliplanes yamanashiensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/863/475/GCA_016863475.1_ASM1686347v1	GCA_016863475.1_ASM1686347v1_genomic.fasta
Streptomyces acidiscabies	42234	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	TRUE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces acidiscabies	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/873/705/GCF_036873705.1_ASM3687370v1	GCF_036873705.1_ASM3687370v1_genomic.fasta
Streptomyces diastatochromogenes	42236	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	NA	TRUE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces diastatochromogenes	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/242/805/GCF_002242805.1_ASM224280v1	GCF_002242805.1_ASM224280v1_genomic.fasta
Streptomyces eurythermus	42237	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces eurythermus	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/649/115/GCA_014649115.1_ASM1464911v1	GCA_014649115.1_ASM1464911v1_genomic.fasta
Streptomyces neyagawaensis	42238	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	TRUE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces neyagawaensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/418/645/GCF_001418645.1_ASM141864v1	GCF_001418645.1_ASM141864v1_genomic.fasta
Terrabacter aerolatus	422442	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	coccus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Terrabacter	Terrabacter aerolatus	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/991/735/GCF_007991735.1_ASM799173v1	GCF_007991735.1_ASM799173v1_genomic.fasta
Veillonella rogosae	423477	FALSE	gram stain negative	anaerobic	FALSE	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	coccus	FALSE	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella rogosae	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/057/735/GCF_026057735.1_ASM2605773v1	GCF_026057735.1_ASM2605773v1_genomic.fasta
Marinovum algicola	42444	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Marinovum	Marinovum algicola	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/145/GCA_900109145.1_IMG-taxon_2615840718_annotated_assembly	GCA_900109145.1_IMG-taxon_2615840718_annotated_assembly_genomic.fasta
Anaerobranca horikoshii	42448	FALSE	gram stain negative	anaerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Bacillota	Clostridia	Eubacteriales	Proteinivoraceae	Anaerobranca	Anaerobranca horikoshii	NA	NA
Roseomonas vinacea	424704	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas vinacea	NA	NA
Mesorhizobium tamadayense	425306	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	TRUE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium tamadayense	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/863/365/GCF_003863365.1_ASM386336v1	GCF_003863365.1_ASM386336v1_genomic.fasta
Halomonas salina	42565	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas salina	NA	NA
Thiomonas arsenitoxydans	426114	TRUE	gram stain negative	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	Thiomonas	Thiomonas arsenitoxydans	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/115/GCA_000253115.1_ASM25311v1	GCA_000253115.1_ASM25311v1_genomic.fasta
Streptomyces collinus	42684	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces collinus	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/348/265/GCA_031348265.1_ASM3134826v1	GCA_031348265.1_ASM3134826v1_genomic.fasta
