====================================================================================================
CLAUDE-3.5-SONNET BIOSAFETY: FULL COMPARISON
====================================================================================================

Fetching predictions for 'anthropic/claude-3.5-sonnet'...
Fetching ground truth biosafety levels...
Loaded 3741 ground-truth species with biosafety labels.

Building comparison table...
Total ground-truth species compared: 3741
Status counts:
  match: 3252
  mismatch: 456
  missing: 33

Mismatches by ground-truth → predicted:
  BSL-1 → BSL-2: 368
  BSL-2 → BSL-1: 79
  BSL-1 → BSL-3: 6
  BSL-2 → BSL-3: 3

FULL TABLE (species, GT, Claude, status):
Species                                  |   GT    | Claude  |  Status  
Campylobacter peloridis                  |  BSL-1  |  BSL-2  | mismatch 
Campylobacter rectus                     |  BSL-2  |  BSL-2  |   match  
Campylobacter showae                     |  BSL-1  |  BSL-2  | mismatch 
Campylobacter subantarcticus             |  BSL-1  |  BSL-2  | mismatch 
Campylobacter upsaliensis                |  BSL-1  |  BSL-2  | mismatch 
Campylobacter volucris                   |  BSL-1  |  BSL-2  | mismatch 
Campylobacter vulpis                     |  BSL-1  |  BSL-2  | mismatch 
Candidimonas nitroreducens               |  BSL-1  |  BSL-1  |   match  
Capnocytophaga gingivalis                |  BSL-2  |  BSL-2  |   match  
Capnocytophaga ochracea                  |  BSL-2  |  BSL-2  |   match  
Carnobacterium maltaromaticum            |  BSL-2  |  BSL-1  | mismatch 
Carnobacterium viridans                  |  BSL-1  |  BSL-1  |   match  
Castellaniella daejeonensis              |  BSL-1  |  BSL-1  |   match  
Castellaniella defragrans                |  BSL-1  |  BSL-1  |   match  
Catellatospora chokoriensis              |  BSL-1  |  BSL-1  |   match  
Catellatospora coxensis                  |  BSL-1  |  BSL-1  |   match  
Catellicoccus marimammalium              |  BSL-1  |  BSL-1  |   match  
Caulobacter flavus                       |  BSL-1  |  BSL-1  |   match  
Caulobacter fusiformis                   |  BSL-1  |  BSL-1  |   match  
Caulobacter hibisci                      |  BSL-1  |  BSL-1  |   match  
Caulobacter rhizosphaerae                |  BSL-1  |  BSL-1  |   match  
Caulobacter segnis                       |  BSL-1  |  BSL-1  |   match  
Caulobacter soli                         |  BSL-1  |  BSL-1  |   match  
Caulobacter vibrioides                   |  BSL-1  |  BSL-1  |   match  
Cecembia lonarensis                      |  BSL-1  |  BSL-1  |   match  
Celeribacter baekdonensis                |  BSL-1  |  BSL-1  |   match  
Celeribacter neptunius                   |  BSL-1  |  BSL-1  |   match  
Cellvibrio japonicus                     |  BSL-1  |  BSL-1  |   match  
Chelativorans composti                   |  BSL-1  |  BSL-1  |   match  
Chelativorans intermedius                |  BSL-1  |  BSL-1  |   match  
Chimaeribacter arupi                     |  BSL-1  |  BSL-1  |   match  
Chimaeribacter californicus              |  BSL-1  |  BSL-1  |   match  
Chimaeribacter coloradensis              |  BSL-1  |  BSL-1  |   match  
Chitinasiproducens palmae                |  BSL-1  |  BSL-1  |   match  
Chitinophaga pinensis                    |  BSL-1  |  BSL-1  |   match  
Chromobacterium alkanivorans             |  BSL-1  |  BSL-1  |   match  
Chromobacterium alticapitis              |  BSL-1  |  BSL-2  | mismatch 
Chromobacterium amazonense               |  BSL-1  |  BSL-1  |   match  
Chromobacterium aquaticum                |  BSL-1  |  BSL-1  |   match  
Chromobacterium paludis                  |  BSL-1  |  BSL-2  | mismatch 
Chromobacterium phragmitis               |  BSL-1  |  BSL-1  |   match  
Chromobacterium rhizoryzae               |  BSL-1  |  BSL-1  |   match  
Chromobacterium sinusclupearum           |  BSL-1  |  BSL-2  | mismatch 
Chromobacterium sphagni                  |  BSL-1  |  BSL-1  |   match  
Chromobacterium subtsugae                |  BSL-1  |  BSL-1  |   match  
Chromobacterium vaccinii                 |  BSL-1  |  BSL-1  |   match  
Chromobacterium violaceum                |  BSL-2  |  BSL-2  |   match  
Chryseobacterium arachidis               |  BSL-1  |  BSL-1  |   match  
Chryseobacterium aurantiacum             |  BSL-1  |  BSL-1  |   match  
Chryseobacterium aureum                  |  BSL-1  |  BSL-1  |   match  
Chryseobacterium bernardetii             |  BSL-1  |  BSL-1  |   match  
Chryseobacterium capnotolerans           |  BSL-1  |  BSL-1  |   match  
Chryseobacterium endophyticum            |  BSL-1  |  BSL-1  |   match  
Chryseobacterium geocarposphaerae        |  BSL-1  |  BSL-1  |   match  
Chryseobacterium ginsengisoli            |  BSL-1  |  BSL-1  |   match  
Chryseobacterium joostei                 |  BSL-1  |  BSL-1  |   match  
Chryseobacterium kimseyorum              |  BSL-1  |  BSL-1  |   match  
Chryseobacterium lactis                  |  BSL-1  |  BSL-1  |   match  
Chryseobacterium lecithinasegens         |  BSL-1  |  BSL-1  |   match  
Chryseobacterium lineare                 |  BSL-1  |  BSL-1  |   match  
Chryseobacterium oncorhynchi             |  BSL-1  |  BSL-2  | mismatch 
Chryseobacterium pennipullorum           |  BSL-1  |  BSL-1  |   match  
Chryseobacterium polytrichastri          |  BSL-1  |  BSL-1  |   match  
Chryseobacterium rhizoplanae             |  BSL-1  |  BSL-1  |   match  
Chryseobacterium rigui                   |  BSL-1  |  BSL-1  |   match  
Chryseobacterium salipaludis             |  BSL-1  |  BSL-1  |   match  
Chryseobacterium scophthalmum            |  BSL-2  |  BSL-2  |   match  
Chryseobacterium solani                  |  BSL-1  |  BSL-1  |   match  
Chryseobacterium taeanense               |  BSL-1  |  BSL-1  |   match  
Chryseobacterium taichungense            |  BSL-1  |  BSL-1  |   match  
Chryseobacterium taihuense               |  BSL-1  |  BSL-1  |   match  
Chryseobacterium ureilyticum             |  BSL-1  |  BSL-2  | mismatch 
Chryseobacterium vietnamense             |  BSL-1  |  BSL-1  |   match  
Chungangia koreensis                     |  BSL-1  |  BSL-1  |   match  
Ciceribacter thiooxidans                 |  BSL-1  |  BSL-1  |   match  
Citreicoccus inhibens                    |  BSL-1  |  BSL-1  |   match  
Citrifermentans bemidjiense              |  BSL-1  |  BSL-1  |   match  
Citrobacter amalonaticus                 |  BSL-2  |  BSL-2  |   match  
Citrobacter braakii                      |  BSL-2  |  BSL-2  |   match  
Citrobacter cronae                       |  BSL-2  |  BSL-2  |   match  
Citrobacter europaeus                    |  BSL-1  |  BSL-2  | mismatch 
Citrobacter farmeri                      |  BSL-2  |  BSL-2  |   match  
Citrobacter gillenii                     |  BSL-2  |  BSL-2  |   match  
Citrobacter koseri                       |  BSL-2  |  BSL-2  |   match  
Citrobacter meridianamericanus           |  BSL-1  |  BSL-2  | mismatch 
Citrobacter murliniae                    |  BSL-2  |  BSL-2  |   match  
Citrobacter pasteurii                    |  BSL-1  |  BSL-2  | mismatch 
Citrobacter portucalensis                |  BSL-1  |  BSL-2  | mismatch 
Citrobacter sedlakii                     |  BSL-2  |  BSL-2  |   match  
Citrobacter telavivensis                 |  BSL-2  |  BSL-2  |   match  
Citrobacter werkmanii                    |  BSL-2  |  BSL-2  |   match  
Citrobacter youngae                      |  BSL-2  |  BSL-2  |   match  
Cloacibacterium normanense               |  BSL-1  |  BSL-1  |   match  
Clostridioides difficile                 |  BSL-2  |  BSL-2  |   match  
Clostridium acetobutylicum               |  BSL-1  |  BSL-1  |   match  
Clostridium aciditolerans                |  BSL-1  |  BSL-1  |   match  
Clostridium aestuarii                    |  BSL-1  |  BSL-1  |   match  
Clostridium bovifaecis                   |  BSL-1  |  BSL-1  |   match  
Clostridium carboxidivorans              |  BSL-1  |  BSL-1  |   match  
Clostridium carnis                       |  BSL-2  |  BSL-1  | mismatch 
Clostridium celatum                      |  BSL-1  |  BSL-2  | mismatch 
Clostridium chromiireducens              |  BSL-1  |  BSL-1  |   match  
Clostridium cochlearium                  |  BSL-1  |  BSL-1  |   match  
Clostridium combesii                     |  BSL-2  |  BSL-1  | mismatch 
Clostridium disporicum                   |  BSL-1  |  BSL-1  |   match  
Clostridium drakei                       |  BSL-1  |  BSL-1  |   match  
Clostridium ganghwense                   |  BSL-1  |  BSL-1  |   match  
Clostridium haemolyticum                 |  BSL-2  |  BSL-2  |   match  
Clostridium hominis                      |  BSL-1  |  BSL-2  | mismatch 
Clostridium huakuii                      |  BSL-1  |  BSL-1  |   match  
Clostridium isatidis                     |  BSL-1  |  BSL-1  |   match  
Clostridium kluyveri                     |  BSL-1  |  BSL-1  |   match  
Clostridium liquoris                     |  BSL-1  |  BSL-1  |   match  
Clostridium moniliforme                  |  BSL-2  |  BSL-1  | mismatch 
Clostridium nitrophenolicum              |  BSL-1  |  BSL-1  |   match  
Clostridium novyi                        |  BSL-2  |  BSL-2  |   match  
Clostridium pasteurianum                 |  BSL-1  |  BSL-1  |   match  
Clostridium perfringens                  |  BSL-2  |  BSL-2  |   match  
Clostridium punense                      |  BSL-1  |  BSL-1  |   match  
Clostridium puniceum                     |  BSL-1  |  BSL-1  |   match  
Clostridium saccharobutylicum            |  BSL-1  |  BSL-1  |   match  
Clostridium sardiniense                  |  BSL-2  |  BSL-1  | mismatch 
Clostridium sartagoforme                 |  BSL-1  |  BSL-1  |   match  
Clostridium saudiense                    |  BSL-1  |  BSL-2  | mismatch 
Clostridium scatologenes                 |  BSL-1  |  BSL-1  |   match  
Clostridium septicum                     |  BSL-2  |  BSL-2  |   match  
Clostridium sporogenes                   |  BSL-2  |  BSL-1  | mismatch 
Clostridium tarantellae                  |  BSL-2  |  BSL-2  |   match  
Clostridium tertium                      |  BSL-2  |  BSL-2  |   match  
Clostridium tetani                       |  BSL-2  |  BSL-2  |   match  
Clostridium thailandense                 |  BSL-1  |  BSL-1  |   match  
Cnuibacter physcomitrellae               |  BSL-1  |  BSL-1  |   match  
Collimonas antrihumi                     |  BSL-1  |  BSL-1  |   match  
Collimonas arenae                        |  BSL-1  |  BSL-1  |   match  
Collimonas fungivorans                   |  BSL-1  |  BSL-1  |   match  
Collimonas humicola                      |  BSL-1  |  BSL-1  |   match  
Collimonas pratensis                     |  BSL-1  |  BSL-1  |   match  
Collimonas silvisoli                     |  BSL-1  |  BSL-1  |   match  
Collinsella intestinalis                 |  BSL-1  |  BSL-1  |   match  
Colwellia hornerae                       |  BSL-1  |  BSL-1  |   match  
Colwellia maris                          |  BSL-1  |  BSL-1  |   match  
Colwellia piezophila                     |  BSL-1  |  BSL-1  |   match  
Comamonas composti                       |  BSL-1  |  BSL-1  |   match  
Comamonas guangdongensis                 |  BSL-1  |  BSL-1  |   match  
Comamonas koreensis                      |  BSL-1  |  BSL-1  |   match  
Comamonas odontotermitis                 |  BSL-1  |  BSL-1  |   match  
Comamonas phosphati                      |  BSL-1  |  BSL-1  |   match  
Comamonas sediminis                      |  BSL-1  |  BSL-1  |   match  
Comamonas terrae                         |  BSL-1  |  BSL-1  |   match  
Comamonas testosteroni                   |  BSL-1  |  BSL-1  |   match  
Comamonas thiooxydans                    |  BSL-1  |  BSL-1  |   match  
Coprobacter fastidiosus                  |  BSL-1  |  BSL-1  |   match  
Corallococcus aberystwythensis           |  BSL-1  |  BSL-1  |   match  
Corallococcus carmarthensis              |  BSL-1  |  BSL-1  |   match  
Corallococcus exercitus                  |  BSL-1  |  BSL-1  |   match  
Corallococcus macrosporus                |  BSL-1  |  BSL-1  |   match  
Corallococcus silvisoli                  |  BSL-1  |  BSL-1  |   match  
Corallococcus terminator                 |  BSL-1  |  BSL-1  |   match  
Corynebacterium accolens                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium amycolatum               |  BSL-2  |  BSL-2  |   match  
Corynebacterium argentoratense           |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium aurimucosum              |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium auriscanis               |  BSL-2  |  BSL-2  |   match  
Corynebacterium choanae                  |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium confusum                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium coyleae                  |  BSL-2  |  BSL-2  |   match  
Corynebacterium crudilactis              |  BSL-1  |  BSL-1  |   match  
Corynebacterium curieae                  |  BSL-2  |  BSL-2  |   match  
Corynebacterium diphtheriae              |  BSL-2  |  BSL-2  |   match  
Corynebacterium durum                    |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium efficiens                |  BSL-1  |  BSL-1  |   match  
Corynebacterium epidermidicanis          |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium evansiae                 |  BSL-2  |  BSL-1  | mismatch 
Corynebacterium faecale                  |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium falsenii                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium felinum                  |  BSL-2  |  BSL-2  |   match  
Corynebacterium freneyi                  |  BSL-2  |  BSL-2  |   match  
Corynebacterium gerontici                |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium glucuronolyticum         |  BSL-2  |  BSL-2  |   match  
Corynebacterium glutamicum               |  BSL-1  |  BSL-1  |   match  
Corynebacterium guangdongense            |  BSL-1  |  BSL-1  |   match  
Corynebacterium hansenii                 |  BSL-1  |  BSL-1  |   match  
Corynebacterium jeikeium                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium kalidii                  |  BSL-1  |  BSL-1  |   match  
Corynebacterium kroppenstedtii           |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium kutscheri                |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium lubricantis              |  BSL-1  |  BSL-1  |   match  
Corynebacterium macclintockiae           |  BSL-2  |  BSL-2  |   match  
Corynebacterium macginleyi               |  BSL-2  |  BSL-2  |   match  
Corynebacterium marquesiae               |  BSL-2  |  BSL-1  | mismatch 
Corynebacterium mastitidis               |  BSL-2  |  BSL-2  |   match  
Corynebacterium meitnerae                |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium minutissimum             |  BSL-2  |  BSL-2  |   match  
Corynebacterium mustelae                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium nasicanis                |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium pollutisoli              |  BSL-1  |  BSL-1  |   match  
Corynebacterium pseudodiphtheriticum     |  BSL-2  |  BSL-2  |   match  
Corynebacterium pseudopelargi            |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium pseudotuberculosis       |  BSL-2  |  BSL-2  |   match  
Corynebacterium pyruviciproducens        |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium renale                   |  BSL-2  |  BSL-2  |   match  
Corynebacterium rouxii                   |  BSL-1  |  BSL-1  |   match  
Corynebacterium silvaticum               |  BSL-2  |  BSL-1  | mismatch 
Corynebacterium simulans                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium singulare                |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium spheniscorum             |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium striatum                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium testudinoris             |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium tuberculostearicum       |  BSL-2  |  BSL-2  |   match  
Corynebacterium tuscaniense              |  BSL-1  |  BSL-1  |   match  
Corynebacterium ulcerans                 |  BSL-2  |  BSL-2  |   match  
Corynebacterium urealyticum              |  BSL-2  |  BSL-2  |   match  
Corynebacterium uterequi                 |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium variabile                |  BSL-1  |  BSL-1  |   match  
Corynebacterium xerosis                  |  BSL-1  |  BSL-2  | mismatch 
Corynebacterium yonathiae                |  BSL-2  |  BSL-1  | mismatch 
Cronobacter sakazakii                    |  BSL-2  |  BSL-2  |   match  
Cryobacterium psychrotolerans            |  BSL-1  |  BSL-1  |   match  
Cryobacterium tagatosivorans             |  BSL-1  |  BSL-1  |   match  
Cupriavidus cauae                        |  BSL-1  |  BSL-1  |   match  
Cupriavidus pauculus                     |  BSL-2  |  BSL-2  |   match  
Cupriavidus plantarum                    |  BSL-1  |  BSL-1  |   match  
Cutibacterium acnes                      |  BSL-2  |  BSL-2  |   match  
Cutibacterium granulosum                 |  BSL-2  |  BSL-2  |   match  
Cutibacterium modestum                   |  BSL-2  |  BSL-1  | mismatch 
Cutibacterium namnetense                 |  BSL-1  |  BSL-1  |   match  
Cytobacillus citreus                     |  BSL-1  |  BSL-1  |   match  
Cytobacillus dafuensis                   |  BSL-1  |    -    |  missing 
Cytobacillus depressus                   |  BSL-1  |  BSL-1  |   match  
Cytobacillus eiseniae                    |  BSL-1  |  BSL-1  |   match  
Cytobacillus firmus                      |  BSL-1  |  BSL-1  |   match  
Cytobacillus formosensis                 |  BSL-1  |  BSL-1  |   match  
Cytobacillus gottheilii                  |  BSL-1  |  BSL-1  |   match  
Cytobacillus horneckiae                  |  BSL-1  |  BSL-1  |   match  
Cytobacillus kochii                      |  BSL-1  |  BSL-1  |   match  
Cytobacillus massiliigabonensis          |  BSL-1  |    -    |  missing 
Cytobacillus oceanisediminis             |  BSL-1  |  BSL-1  |   match  
Cytobacillus praedii                     |  BSL-1  |  BSL-1  |   match  
Cytobacillus pseudoceanisediminis        |  BSL-1  |  BSL-1  |   match  
Cytobacillus purgationiresistens         |  BSL-1  |  BSL-1  |   match  
Cytobacillus solani                      |  BSL-1  |  BSL-1  |   match  
Daejeonia ginsenosidivorans              |  BSL-1  |  BSL-1  |   match  
Deinococcus deserti                      |  BSL-1  |  BSL-1  |   match  
Deinococcus geothermalis                 |  BSL-1  |  BSL-1  |   match  
Deinococcus radiodurans                  |  BSL-1  |  BSL-1  |   match  
Delftia acidovorans                      |  BSL-1  |  BSL-1  |   match  
Delftia lacustris                        |  BSL-1  |  BSL-1  |   match  
Delftia rhizosphaerae                    |  BSL-1  |  BSL-1  |   match  
Delftia tsuruhatensis                    |  BSL-1  |  BSL-1  |   match  
Denitrificimonas caeni                   |  BSL-1  |  BSL-1  |   match  
Desulfatibacillum alkenivorans           |  BSL-1  |  BSL-1  |   match  
Desulfobacter curvatus                   |  BSL-1  |  BSL-1  |   match  
Desulfobacter postgatei                  |  BSL-1  |  BSL-1  |   match  
Desulforamulus ruminis                   |  BSL-1  |  BSL-1  |   match  
Desulforapulum autotrophicum             |  BSL-1  |  BSL-1  |   match  
Desulfovibrio desulfuricans              |  BSL-1  |  BSL-1  |   match  
Devriesea agamarum                       |  BSL-2  |  BSL-2  |   match  
Diaminobutyricimonas aerilata            |  BSL-1  |  BSL-1  |   match  
Dichelobacter nodosus                    |  BSL-2  |  BSL-2  |   match  
Dickeya aquatica                         |  BSL-1  |  BSL-1  |   match  
Dickeya chrysanthemi                     |  BSL-1  |  BSL-1  |   match  
Dickeya dadantii                         |  BSL-1  |  BSL-1  |   match  
Dickeya dianthicola                      |  BSL-1  |  BSL-1  |   match  
Dickeya fangzhongdai                     |  BSL-1  |  BSL-1  |   match  
Dickeya lacustris                        |  BSL-1  |  BSL-1  |   match  
Dickeya parazeae                         |  BSL-1  |  BSL-1  |   match  
Dickeya solani                           |  BSL-1  |  BSL-1  |   match  
Dickeya undicola                         |  BSL-1  |  BSL-1  |   match  
Dickeya zeae                             |  BSL-1  |  BSL-1  |   match  
Dietzia aerolata                         |  BSL-1  |  BSL-1  |   match  
Dietzia aurantiaca                       |  BSL-1  |  BSL-1  |   match  
Dietzia lutea                            |  BSL-1  |  BSL-1  |   match  
Dietzia timorensis                       |  BSL-1  |  BSL-1  |   match  
Dokdonia diaphoros                       |  BSL-1  |  BSL-1  |   match  
Dokdonia donghaensis                     |  BSL-1  |  BSL-1  |   match  
Dokdonia eikasta                         |  BSL-1  |  BSL-1  |   match  
Dokdonia genika                          |  BSL-1  |  BSL-1  |   match  
Dorea amylophila                         |  BSL-1  |  BSL-1  |   match  
Dorea formicigenerans                    |  BSL-1  |  BSL-1  |   match  
Dorea longicatena                        |  BSL-1  |  BSL-1  |   match  
Duffyella gerundensis                    |  BSL-1  |  BSL-1  |   match  
Duganella dendranthematis                |  BSL-1  |  BSL-1  |   match  
Duganella fentianensis                   |  BSL-1  |  BSL-1  |   match  
Duganella lactea                         |  BSL-1  |  BSL-1  |   match  
Duganella levis                          |  BSL-1  |  BSL-1  |   match  
Duganella radicis                        |  BSL-1  |  BSL-1  |   match  
Duganella vulcania                       |  BSL-1  |  BSL-1  |   match  
Dyella acidisoli                         |  BSL-1  |  BSL-1  |   match  
Dyella amyloliquefaciens                 |  BSL-1  |  BSL-1  |   match  
Dyella choica                            |  BSL-1  |  BSL-1  |   match  
Dyella flava                             |  BSL-1  |  BSL-1  |   match  
Dyella ginsengisoli                      |  BSL-1  |  BSL-1  |   match  
Dyella halodurans                        |  BSL-1  |  BSL-1  |   match  
Dyella humi                              |  BSL-1  |  BSL-1  |   match  
Dyella humicola                          |  BSL-1  |  BSL-1  |   match  
Dyella japonica                          |  BSL-1  |  BSL-1  |   match  
Dyella jiangningensis                    |  BSL-1  |  BSL-1  |   match  
Dyella koreensis                         |  BSL-1  |  BSL-1  |   match  
Dyella kyungheensis                      |  BSL-1  |  BSL-1  |   match  
Dyella lutea                             |  BSL-1  |  BSL-1  |   match  
Dyella marensis                          |  BSL-1  |  BSL-1  |   match  
Dyella mobilis                           |  BSL-1  |  BSL-1  |   match  
Dyella monticola                         |  BSL-1  |  BSL-1  |   match  
Dyella psychrodurans                     |  BSL-1  |  BSL-1  |   match  
Dyella silvae                            |  BSL-1  |  BSL-1  |   match  
Dyella silvatica                         |  BSL-1  |  BSL-1  |   match  
Dyella soli                              |  BSL-1  |  BSL-1  |   match  
Dyella solisilvae                        |  BSL-1  |  BSL-1  |   match  
Dyella subtropica                        |  BSL-1  |  BSL-1  |   match  
Dyella tabacisoli                        |  BSL-1  |  BSL-1  |   match  
Dyella telluris                          |  BSL-1  |  BSL-1  |   match  
Dyella terrae                            |  BSL-1  |  BSL-1  |   match  
Dyella thiooxydans                       |  BSL-1  |  BSL-1  |   match  
Echinicola vietnamensis                  |  BSL-1  |  BSL-1  |   match  
Edwardsiella hoshinae                    |  BSL-2  |  BSL-2  |   match  
Edwardsiella piscicida                   |  BSL-2  |  BSL-2  |   match  
Effusibacillus pohliae                   |  BSL-1  |  BSL-1  |   match  
Eggerthella lenta                        |  BSL-2  |  BSL-2  |   match  
Eikenella corrodens                      |  BSL-2  |  BSL-2  |   match  
Eikenella exigua                         |  BSL-2  |  BSL-2  |   match  
Elizabethkingia anophelis                |  BSL-2  |  BSL-2  |   match  
Elizabethkingia bruuniana                |  BSL-2  |  BSL-2  |   match  
Elizabethkingia meningoseptica           |  BSL-2  |  BSL-2  |   match  
Elizabethkingia miricola                 |  BSL-2  |  BSL-2  |   match  
Elizabethkingia occulta                  |  BSL-2  |  BSL-2  |   match  
Elizabethkingia ursingii                 |  BSL-2  |  BSL-2  |   match  
Empedobacter brevis                      |  BSL-1  |  BSL-2  | mismatch 
Empedobacter tilapiae                    |  BSL-1  |  BSL-2  | mismatch 
Endobacter medicaginis                   |  BSL-1  |  BSL-1  |   match  
Ensifer adhaerens                        |  BSL-1  |  BSL-1  |   match  
Ensifer sesbaniae                        |  BSL-1  |  BSL-1  |   match  
Enterobacter bugandensis                 |  BSL-2  |  BSL-2  |   match  
Enterobacter cancerogenus                |  BSL-2  |  BSL-2  |   match  
Enterobacter chuandaensis                |  BSL-2  |  BSL-2  |   match  
Enterobacter cloacae                     |  BSL-2  |  BSL-2  |   match  
Enterobacter dykesii                     |  BSL-2  |  BSL-2  |   match  
Enterobacter huaxiensis                  |  BSL-2  |  BSL-2  |   match  
Enterobacter kobei                       |  BSL-2  |  BSL-2  |   match  
Enterobacter ludwigii                    |  BSL-2  |  BSL-2  |   match  
Enterobacter nematophilus                |  BSL-2  |  BSL-2  |   match  
Enterobacter quasihormaechei             |  BSL-2  |  BSL-2  |   match  
Enterobacter siamensis                   |  BSL-1  |  BSL-2  | mismatch 
Enterobacter sichuanensis                |  BSL-2  |  BSL-2  |   match  
Enterobacter wuhouensis                  |  BSL-2  |  BSL-2  |   match  
Enterocloster clostridioformis           |  BSL-2  |  BSL-1  | mismatch 
Enterococcus asini                       |  BSL-1  |  BSL-2  | mismatch 
Enterococcus caccae                      |  BSL-1  |  BSL-2  | mismatch 
Enterococcus canintestini                |  BSL-1  |  BSL-2  | mismatch 
Enterococcus canis                       |  BSL-2  |  BSL-2  |   match  
Enterococcus casseliflavus               |  BSL-2  |  BSL-2  |   match  
Enterococcus crotali                     |  BSL-1  |  BSL-2  | mismatch 
Enterococcus durans                      |  BSL-2  |  BSL-2  |   match  
Enterococcus faecium                     |  BSL-2  |  BSL-2  |   match  
Enterococcus florum                      |  BSL-1  |  BSL-1  |   match  
Enterococcus gallinarum                  |  BSL-2  |  BSL-2  |   match  
Enterococcus hirae                       |  BSL-2  |  BSL-2  |   match  
Enterococcus innesii                     |  BSL-2  |  BSL-2  |   match  
Enterococcus mundtii                     |  BSL-1  |  BSL-1  |   match  
Enterococcus olivae                      |  BSL-1  |  BSL-1  |   match  
Enterococcus plantarum                   |  BSL-1  |  BSL-1  |   match  
Enterococcus quebecensis                 |  BSL-1  |  BSL-2  | mismatch 
Enterococcus raffinosus                  |  BSL-1  |  BSL-2  | mismatch 
Enterococcus ratti                       |  BSL-2  |  BSL-2  |   match  
Enterococcus rotai                       |  BSL-1  |  BSL-1  |   match  
Enterococcus saigonensis                 |  BSL-1  |  BSL-2  | mismatch 
Enterococcus silesiacus                  |  BSL-1  |  BSL-1  |   match  
Enterococcus termitis                    |  BSL-1  |  BSL-1  |   match  
Enterococcus thailandicus                |  BSL-1  |  BSL-2  | mismatch 
Enterococcus ureasiticus                 |  BSL-1  |  BSL-2  | mismatch 
Enterococcus ureilyticus                 |  BSL-1  |  BSL-2  | mismatch 
Enterococcus viikkiensis                 |  BSL-1  |  BSL-1  |   match  
Enterococcus wangshanyuanii              |  BSL-1  |  BSL-1  |   match  
Enterovibrio coralii                     |  BSL-1  |  BSL-2  | mismatch 
Eoetvoesiella caeni                      |  BSL-1  |  BSL-1  |   match  
Epilithonimonas arachidiradicis          |  BSL-1  |  BSL-1  |   match  
Epilithonimonas hominis                  |  BSL-2  |  BSL-1  | mismatch 
Epilithonimonas hungarica                |  BSL-1  |  BSL-1  |   match  
Epilithonimonas lactis                   |  BSL-1  |  BSL-1  |   match  
Epilithonimonas mollis                   |  BSL-1  |  BSL-1  |   match  
Epilithonimonas pallida                  |  BSL-1  |  BSL-1  |   match  
Epilithonimonas vandammei                |  BSL-2  |  BSL-1  | mismatch 
Erwinia amylovora                        |  BSL-1  |  BSL-2  | mismatch 
Erwinia aphidicola                       |  BSL-1  |  BSL-1  |   match  
Erwinia billingiae                       |  BSL-1  |  BSL-1  |   match  
Erwinia endophytica                      |  BSL-1  |  BSL-1  |   match  
Erwinia persicina                        |  BSL-1  |  BSL-1  |   match  
Erwinia psidii                           |  BSL-1  |  BSL-1  |   match  
Erwinia rhapontici                       |  BSL-1  |  BSL-1  |   match  
Erwinia tracheiphila                     |  BSL-1  |  BSL-1  |   match  
Erwinia uzenensis                        |  BSL-1  |  BSL-1  |   match  
Erysipelothrix rhusiopathiae             |  BSL-2  |  BSL-2  |   match  
Erythrobacter aurantius                  |  BSL-1  |  BSL-1  |   match  
Erythrobacter colymbi                    |  BSL-1  |  BSL-1  |   match  
Erythrobacter donghaensis                |  BSL-1  |  BSL-1  |   match  
Erythrobacter litoralis                  |  BSL-1  |  BSL-1  |   match  
Erythrobacter ramosus                    |  BSL-1  |  BSL-1  |   match  
Escherichia marmotae                     |  BSL-1  |  BSL-2  | mismatch 
Eubacterium callanderi                   |  BSL-1  |  BSL-1  |   match  
Eubacterium limosum                      |  BSL-1  |  BSL-1  |   match  
Eubacterium ventriosum                   |  BSL-1  |  BSL-1  |   match  
Faecalibacterium prausnitzii             |  BSL-1  |  BSL-1  |   match  
Falsibacillus albus                      |  BSL-1  |  BSL-1  |   match  
Falsibacillus pallidus                   |  BSL-1  |  BSL-1  |   match  
Fervidobacterium islandicum              |  BSL-1  |  BSL-1  |   match  
Fervidobacterium pennivorans             |  BSL-1  |  BSL-1  |   match  
Filifactor alocis                        |  BSL-2  |  BSL-2  |   match  
