Model,Model_Display,Phenotype,Balanced_Accuracy,Precision,Sample_Size,Metric_Type
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,biosafety_level,0.7655,0.766,3709,multiclass
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,cell_shape,0.5822,0.5855,3293,multiclass
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,extreme_environment_tolerance,0.6098,0.6063,3348,binary
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,gram_staining,0.613,0.6196,3838,multiclass
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,host_association,0.7587,0.8045,2665,binary
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,motility,0.7556,0.6588,2948,binary
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,plant_pathogenicity,0.6974,0.3862,3727,binary
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,spore_formation,0.8633,0.9426,3610,binary
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,animal_pathogenicity,0.5925,0.8472,2046,binary
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,biofilm_formation,0.4836,0.6984,253,binary
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,biosafety_level,0.7066,0.3876,3699,multiclass
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,cell_shape,0.4973,0.2819,3275,multiclass
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,extreme_environment_tolerance,0.5717,0.1302,3343,binary
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,gram_staining,0.5117,0.5362,3831,multiclass
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,host_association,0.58,0.4624,2658,binary
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,motility,0.6972,0.7851,2945,binary
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,plant_pathogenicity,0.6235,0.209,3722,binary
microsoft/phi-3-mini-128k-instruct,phi-3-mini-128k-instruct,spore_formation,0.7216,0.9796,3603,binary
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,animal_pathogenicity,0.8042,0.7159,2045,binary
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,biofilm_formation,0.4972,0.7063,253,binary
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,biosafety_level,0.757,0.5589,3700,multiclass
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,cell_shape,0.6962,0.553,3282,multiclass
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,extreme_environment_tolerance,0.6868,0.2268,3340,binary
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,gram_staining,0.6395,0.6407,3829,multiclass
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,host_association,0.6852,0.5427,2658,binary
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,motility,0.837,0.7957,2943,binary
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,plant_pathogenicity,0.75,0.3588,3718,binary
microsoft/wizardlm-2-8x22b,wizardlm-2-8x22b,spore_formation,0.8861,0.9547,3601,binary
