binomial_name,Anthropic claude-sonnet-4,Google gemini-2.5-flash-lite,OpenAI gpt-4o,DeepSeek deepseek-chat-v3-0324,OpenAI gpt-oss-20b,OpenAI gpt-oss-120b,xAI grok-3-mini,OpenAI gpt-4.1-nano,OpenAI gpt-5,OpenAI gpt-4,OpenAI gpt-5-nano
enterococcus innesii,limited,limited,limited,limited,limited,limited,NA,moderate,limited,NA,limited
enterococcus mundtii,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive,extensive,moderate,moderate
enterococcus olivae,limited,limited,limited,limited,limited,NA,limited,moderate,limited,NA,NA
enterococcus plantarum,NA,moderate,NA,moderate,NA,NA,NA,extensive,NA,NA,NA
enterococcus quebecensis,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
enterococcus raffinosus,limited,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,NA
enterococcus ratti,limited,limited,limited,moderate,limited,NA,limited,moderate,limited,NA,NA
enterococcus rotai,limited,limited,NA,NA,limited,NA,NA,limited,NA,NA,NA
enterococcus saigonensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
enterococcus silesiacus,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
enterococcus termitis,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA,NA
enterococcus thailandicus,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
enterococcus ureasiticus,limited,limited,limited,NA,limited,limited,NA,NA,NA,NA,NA
enterococcus ureilyticus,limited,limited,limited,limited,limited,NA,moderate,NA,limited,limited,NA
enterococcus viikkiensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
enterococcus wangshanyuanii,limited,limited,limited,NA,limited,limited,limited,NA,limited,limited,NA
enterovibrio coralii,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
eoetvoesiella caeni,limited,limited,limited,NA,NA,limited,limited,limited,limited,limited,NA
epilithonimonas arachidiradicis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
epilithonimonas hominis,limited,limited,limited,limited,,NA,limited,limited,limited,limited,limited
epilithonimonas hungarica,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
epilithonimonas lactis,limited,limited,limited,limited,limited,NA,NA,limited,limited,NA,limited
epilithonimonas mollis,limited,limited,limited,limited,limited,NA,limited,limited,NA,limited,limited
epilithonimonas pallida,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
epilithonimonas vandammei,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited
erwinia amylovora,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
erwinia aphidicola,limited,moderate,limited,moderate,limited,limited,moderate,limited,NA,limited,NA
erwinia billingiae,moderate,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,limited
erwinia endophytica,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
erwinia iniecta,limited,limited,limited,limited,NA,NA,NA,NA,limited,NA,NA
erwinia persicina,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,moderate
erwinia psidii,limited,limited,limited,moderate,moderate,limited,moderate,limited,moderate,NA,limited
erwinia rhapontici,limited,moderate,moderate,moderate,limited,limited,moderate,moderate,moderate,limited,moderate
erwinia toletana,limited,limited,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited
erwinia tracheiphila,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,limited,moderate
erwinia uzenensis,limited,limited,limited,limited,limited,limited,limited,NA,moderate,limited,NA
erysipelothrix rhusiopathiae,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
erythrobacter aurantius,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA,limited
erythrobacter colymbi,limited,limited,limited,limited,limited,moderate,limited,NA,limited,limited,limited
erythrobacter donghaensis,limited,limited,limited,moderate,moderate,moderate,limited,moderate,limited,moderate,limited
erythrobacter litoralis,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,extensive,moderate,moderate
erythrobacter ramosus,limited,moderate,limited,moderate,limited,moderate,NA,moderate,NA,NA,limited
escherichia coli,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
escherichia marmotae,limited,limited,limited,limited,moderate,moderate,NA,extensive,moderate,limited,limited
eubacterium callanderi,limited,limited,limited,limited,limited,limited,NA,moderate,moderate,limited,limited
eubacterium limosum,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate,extensive,moderate,moderate
eubacterium ventriosum,limited,moderate,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,limited
faecalibacterium prausnitzii,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,extensive,extensive
falsibacillus albus,limited,limited,limited,limited,,NA,NA,limited,limited,NA,NA
falsibacillus pallidus,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited,limited
fervidobacterium islandicum,limited,limited,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,limited
fervidobacterium pennivorans,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,NA
filifactor alocis,moderate,moderate,moderate,moderate,extensive,moderate,moderate,extensive,moderate,moderate,extensive
finegoldia magna,extensive,moderate,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
flavobacterium acidificum,limited,limited,limited,limited,NA,limited,limited,NA,limited,limited,NA
flavobacterium amniphilum,limited,limited,limited,limited,moderate,limited,moderate,NA,limited,limited,NA
flavobacterium antarcticum,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,limited
flavobacterium aquariorum,limited,limited,limited,limited,limited,NA,limited,moderate,limited,NA,NA
flavobacterium aquidurense,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
flavobacterium branchiicola,limited,moderate,limited,moderate,moderate,limited,NA,limited,limited,NA,limited
flavobacterium brevivitae,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA,NA
flavobacterium cerinum,limited,limited,limited,limited,limited,NA,moderate,limited,limited,NA,NA
flavobacterium chryseum,limited,limited,limited,moderate,limited,limited,NA,moderate,limited,NA,limited
flavobacterium circumlabens,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
flavobacterium collinsii,limited,limited,limited,limited,limited,,limited,moderate,limited,NA,NA
flavobacterium columnare,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
flavobacterium covae,limited,limited,limited,limited,limited,limited,NA,moderate,moderate,NA,NA
flavobacterium cupreum,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA,NA
flavobacterium frigidimaris,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
flavobacterium frigoris,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
flavobacterium frigoritolerans,limited,limited,limited,moderate,limited,limited,moderate,extensive,NA,limited,moderate
flavobacterium gawalongense,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
flavobacterium glaciei,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
flavobacterium hankyongi,limited,limited,limited,limited,limited,limited,NA,NA,limited,limited,NA
flavobacterium hydatis,limited,limited,limited,moderate,limited,limited,limited,moderate,NA,limited,NA
flavobacterium inkyongense,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
flavobacterium kayseriense,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA,limited
flavobacterium pectinovorum,limited,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA,limited
flavobacterium piscis,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
flavobacterium plurextorum,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA,NA
flavobacterium psychrophilum,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
flavobacterium psychroterrae,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,NA
flavobacterium pygoscelis,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA,NA
flavobacterium ranwuense,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
flavobacterium restrictum,limited,moderate,limited,limited,limited,limited,limited,moderate,NA,limited,NA
flavobacterium rhamnosiphilum,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
flavobacterium rivuli,limited,limited,limited,moderate,limited,,limited,moderate,limited,limited,limited
flavobacterium saccharophilum,limited,limited,limited,moderate,limited,limited,moderate,limited,limited,limited,NA
flavobacterium saliperosum,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
flavobacterium sinopsychrotolerans,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
flavobacterium subsaxonicum,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
flavobacterium succinicans,limited,limited,limited,limited,limited,limited,NA,moderate,limited,limited,NA
flavobacterium suzhouense,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
flavobacterium swingsii,limited,limited,limited,limited,NA,limited,moderate,NA,limited,NA,NA
flavobacterium tructae,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,limited,limited
flavobacterium urumqiense,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
flavobacterium xinjiangense,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
fluoribacter dumoffii,limited,limited,moderate,moderate,limited,limited,moderate,NA,extensive,limited,NA
fluoribacter gormanii,limited,limited,limited,moderate,limited,NA,moderate,moderate,NA,limited,limited
fontibacillus phaseoli,limited,limited,limited,limited,limited,NA,limited,limited,limited,NA,NA
franconibacter pulveris,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
frankia casuarinae,moderate,moderate,moderate,moderate,extensive,extensive,NA,extensive,moderate,NA,limited
frateuria aurantia,limited,limited,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,limited
frateuria defendens,limited,limited,limited,NA,limited,limited,NA,limited,limited,NA,limited
frateuria edaphi,limited,limited,limited,limited,NA,NA,limited,limited,NA,limited,NA
frateuria flava,limited,limited,limited,moderate,limited,limited,limited,moderate,NA,limited,NA
frateuria soli,limited,limited,limited,limited,limited,NA,limited,limited,limited,limited,limited
fructilactobacillus sanfranciscensis,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,NA,extensive
fulvimonas soli,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
fusobacterium mortiferum,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,limited,limited
fusobacterium necrophorum,extensive,extensive,moderate,extensive,extensive,extensive,moderate,extensive,extensive,moderate,extensive
fusobacterium russii,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA,NA
fusobacterium ulcerans,limited,limited,limited,limited,extensive,NA,NA,NA,limited,limited,limited
fusobacterium varium,moderate,moderate,moderate,moderate,limited,extensive,moderate,moderate,extensive,moderate,limited
fusobacterium watanabei,limited,limited,limited,limited,NA,NA,limited,moderate,NA,limited,NA
galactobacter caseinivorans,limited,limited,NA,NA,NA,limited,NA,NA,NA,NA,NA
galactobacter valiniphilus,limited,limited,NA,NA,NA,limited,NA,NA,NA,NA,NA
galbibacter marinus,limited,limited,limited,NA,limited,limited,limited,moderate,limited,limited,NA
gardnerella vaginalis,extensive,extensive,extensive,extensive,,extensive,extensive,extensive,extensive,extensive,extensive
geobacillus icigianus,limited,limited,limited,limited,moderate,limited,NA,moderate,moderate,NA,NA
geobacillus proteiniphilus,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,limited,NA,NA
geobacillus stearothermophilus,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
geobacillus subterraneus,limited,moderate,limited,moderate,moderate,moderate,moderate,extensive,moderate,NA,limited
geobacillus thermodenitrificans,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
geobacillus thermoleovorans,moderate,moderate,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,moderate
geobacillus vulcani,limited,moderate,limited,moderate,limited,limited,moderate,extensive,limited,limited,NA
gibbsiella dentisursi,limited,limited,limited,limited,limited,NA,limited,NA,NA,limited,NA
gillisia marina,limited,limited,limited,limited,limited,NA,moderate,limited,limited,limited,limited
gillisia mitskevichiae,limited,limited,limited,limited,limited,NA,limited,NA,limited,limited,limited
glaesserella parasuis,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
gluconacetobacter aggeris,limited,moderate,limited,limited,limited,limited,limited,NA,NA,NA,NA
gluconacetobacter asukensis,limited,moderate,limited,limited,limited,limited,limited,moderate,limited,moderate,
gluconacetobacter dulcium,limited,limited,limited,limited,NA,NA,moderate,NA,NA,NA,NA
gluconacetobacter entanii,limited,extensive,limited,limited,moderate,limited,moderate,moderate,limited,NA,limited
gluconacetobacter liquefaciens,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,limited,NA,limited
gluconacetobacter sacchari,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,limited,NA,moderate
gluconacetobacter takamatsuzukensis,limited,moderate,limited,limited,limited,limited,limited,NA,limited,limited,NA
gluconacetobacter tumulicola,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
gluconacetobacter tumulisoli,limited,limited,limited,limited,NA,NA,limited,NA,limited,limited,NA
gluconobacter aidae,limited,limited,limited,limited,NA,NA,NA,NA,NA,NA,NA
gluconobacter albidus,moderate,moderate,limited,limited,moderate,moderate,NA,moderate,moderate,NA,NA
gluconobacter cadivus,limited,limited,NA,NA,limited,NA,NA,NA,NA,NA,NA
gluconobacter cerevisiae,NA,extensive,limited,NA,limited,limited,NA,NA,NA,NA,NA
gluconobacter cerinus,limited,extensive,limited,moderate,limited,moderate,moderate,moderate,moderate,limited,NA
gluconobacter frateurii,limited,extensive,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,moderate
gluconobacter japonicus,limited,extensive,limited,moderate,moderate,limited,moderate,extensive,moderate,NA,moderate
gluconobacter kondonii,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,NA
gluconobacter oxydans,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
gluconobacter potus,limited,limited,NA,NA,NA,NA,limited,NA,NA,NA,NA
gluconobacter vitians,limited,moderate,limited,limited,NA,limited,NA,moderate,NA,NA,NA
goodfellowiella coeruleoviolacea,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
gordonia aichiensis,limited,limited,moderate,moderate,limited,limited,moderate,moderate,limited,limited,limited
gordonia amarae,moderate,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,NA,moderate
gordonia amicalis,limited,limited,limited,moderate,limited,moderate,moderate,moderate,moderate,NA,limited
gordonia asplenii,limited,moderate,limited,moderate,limited,NA,limited,moderate,limited,limited,limited
gordonia cholesterolivorans,moderate,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,limited,limited
gordonia crocea,limited,moderate,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
gordonia defluvii,limited,limited,moderate,moderate,limited,limited,moderate,moderate,limited,limited,limited
gordonia desulfuricans,limited,limited,limited,limited,moderate,,moderate,moderate,NA,limited,NA
gordonia didemni,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
gordonia effusa,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
gordonia hankookensis,limited,limited,limited,limited,,limited,moderate,limited,limited,limited,NA
gordonia hongkongensis,limited,moderate,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
gordonia humi,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,limited,NA
gordonia hydrophobica,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
gordonia insulae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
gordonia jinghuaiqii,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA,NA
gordonia lacunae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
gordonia liuliyuniae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
gordonia malaquae,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
gordonia oryzae,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
gordonia phthalatica,limited,limited,limited,limited,NA,limited,moderate,moderate,limited,limited,NA
gordonia pseudamarae,limited,limited,limited,limited,NA,NA,moderate,limited,limited,limited,NA
gordonia rubripertincta,limited,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,limited,moderate
gordonia sediminis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
gordonia sihwensis,limited,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA
gordonia soli,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
gordonia spumicola,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
gordonia sputi,limited,moderate,moderate,moderate,,limited,moderate,moderate,,limited,NA
gordonia terrae,limited,moderate,moderate,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate
gordonia westfalica,limited,moderate,limited,limited,limited,moderate,moderate,moderate,moderate,limited,limited
gordonia zhaorongruii,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
gordonia zhenghanii,limited,limited,limited,limited,limited,NA,limited,NA,limited,limited,limited
gracilinema caldarium,limited,limited,limited,limited,limited,NA,NA,NA,limited,NA,NA
granulicatella balaenopterae,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,limited
granulicatella elegans,limited,moderate,limited,moderate,moderate,moderate,NA,moderate,moderate,limited,moderate
guggenheimella bovis,limited,limited,NA,NA,NA,NA,NA,NA,NA,NA,NA
gulosibacter bifidus,limited,limited,limited,limited,limited,NA,limited,limited,NA,limited,NA
gulosibacter faecalis,limited,limited,limited,limited,limited,NA,limited,limited,limited,limited,limited
gulosibacter hominis,limited,limited,limited,limited,limited,NA,limited,limited,limited,NA,NA
gulosibacter macacae,limited,limited,limited,limited,limited,NA,limited,limited,NA,limited,limited
gulosibacter massiliensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
haemophilus influenzae,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
haemophilus paracuniculus,limited,limited,limited,limited,NA,NA,limited,NA,NA,limited,NA
halalkalibacterium halodurans,moderate,moderate,limited,limited,limited,limited,moderate,NA,NA,NA,extensive
haloarcula amylolytica,limited,limited,limited,limited,limited,moderate,moderate,moderate,NA,NA,NA
haloarcula japonica,limited,moderate,limited,moderate,moderate,moderate,moderate,extensive,moderate,limited,limited
halobacterium salinarum,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
halobellus rarus,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
halobiforma haloterrestris,limited,limited,limited,limited,moderate,moderate,moderate,moderate,limited,limited,moderate
halobiforma lacisalsi,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
halobiforma nitratireducens,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
halochromatium glycolicum,limited,limited,limited,limited,limited,NA,limited,moderate,limited,NA,limited
halochromatium roseum,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
halococcus dombrowskii,limited,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,limited,limited
halococcus qingdaonensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
halococcus sediminicola,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
halococcus thailandensis,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA
haloferax alexandrinus,limited,moderate,limited,limited,limited,limited,limited,moderate,limited,NA,limited
haloferax chudinovii,limited,limited,moderate,limited,limited,NA,limited,moderate,limited,NA,limited
haloferax gibbonsii,limited,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,NA,limited
haloferax larsenii,limited,limited,moderate,limited,moderate,limited,limited,moderate,limited,NA,limited
haloferax lucentense,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA,NA
haloferax namakaokahaiae,limited,limited,limited,NA,limited,limited,limited,moderate,limited,limited,NA
haloferax prahovense,limited,limited,limited,limited,moderate,,limited,limited,limited,limited,limited
haloferax volcanii,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
halogeometricum limi,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
halomonas elongata,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
halomonas lutea,limited,moderate,limited,moderate,moderate,limited,moderate,moderate,limited,NA,limited
haloparvum sedimenti,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
halopelagius fulvigenes,limited,limited,limited,limited,limited,limited,NA,NA,NA,limited,NA
halopelagius inordinatus,limited,limited,limited,limited,limited,NA,limited,NA,NA,limited,NA
halopelagius longus,limited,limited,limited,limited,NA,NA,moderate,NA,NA,NA,NA
halorubrum aethiopicum,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,limited,limited
halorubrum amylolyticum,limited,limited,limited,moderate,moderate,limited,moderate,moderate,limited,limited,limited
halorubrum aquaticum,limited,limited,limited,limited,limited,limited,NA,moderate,limited,NA,NA
halorubrum californiense,limited,limited,limited,moderate,limited,limited,NA,moderate,limited,limited,NA
halorubrum coriense,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
halorubrum ejinorense,limited,moderate,limited,limited,limited,limited,NA,moderate,limited,limited,limited
halorubrum ezzemoulense,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
halorubrum halodurans,limited,moderate,limited,limited,moderate,moderate,moderate,extensive,NA,NA,moderate
halorubrum halophilum,moderate,extensive,limited,limited,extensive,moderate,NA,moderate,NA,NA,limited
halorubrum lipolyticum,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,limited,limited,limited
halorubrum luteum,limited,limited,limited,limited,moderate,moderate,moderate,moderate,NA,NA,limited
halorubrum pallidum,limited,limited,moderate,moderate,moderate,moderate,moderate,moderate,NA,limited,limited
halorubrum persicum,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
halorubrum saccharovorum,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,limited
halorubrum salsamenti,limited,limited,limited,NA,limited,limited,NA,limited,NA,limited,limited
halorubrum sodomense,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,limited
halorubrum tebenquichense,limited,limited,moderate,limited,limited,moderate,limited,limited,moderate,limited,limited
halorubrum trapanicum,limited,moderate,limited,moderate,limited,moderate,moderate,limited,moderate,limited,limited
halorubrum trueperi,moderate,limited,limited,limited,moderate,moderate,moderate,moderate,limited,limited,limited
haloterrigena salifodinae,limited,limited,limited,moderate,limited,limited,limited,limited,limited,NA,limited
haloterrigena salina,moderate,limited,limited,moderate,moderate,moderate,moderate,moderate,NA,NA,moderate
halpernia frigidisoli,limited,limited,NA,NA,NA,NA,NA,NA,NA,NA,NA
hamadaea flava,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
helicobacter acinonychis,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited
helicobacter ailurogastricus,limited,limited,limited,limited,limited,moderate,limited,moderate,limited,limited,limited
helicobacter anatolicus,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
helicobacter anseris,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
helicobacter baculiformis,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA,NA
helicobacter bilis,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive,moderate,moderate,moderate
helicobacter canadensis,limited,limited,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,limited
helicobacter canis,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
helicobacter cholecystus,limited,limited,limited,limited,NA,NA,limited,NA,NA,NA,NA
helicobacter colisuis,limited,limited,NA,NA,NA,NA,NA,NA,NA,NA,NA
helicobacter cynogastricus,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
helicobacter enhydrae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
helicobacter equorum,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
helicobacter fennelliae,limited,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,limited,limited
helicobacter heilmannii,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,moderate,moderate
helicobacter hepaticus,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
helicobacter himalayensis,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited
helicobacter japonicus,limited,limited,limited,limited,limited,limited,NA,moderate,limited,limited,limited
helicobacter kumamotonensis,limited,limited,limited,limited,limited,moderate,limited,moderate,NA,limited,limited
helicobacter labacensis,limited,limited,limited,NA,limited,limited,NA,limited,limited,NA,NA
helicobacter mehlei,limited,limited,limited,NA,limited,NA,NA,limited,NA,NA,NA
helicobacter mustelae,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive,extensive,moderate,moderate
helicobacter pylori,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
helicobacter salomonis,limited,moderate,limited,limited,moderate,limited,moderate,moderate,moderate,limited,NA
helicobacter turcicus,limited,limited,limited,NA,limited,NA,NA,moderate,NA,limited,NA
helicobacter vulpis,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
heliomicrobium modesticaldum,limited,limited,moderate,limited,moderate,moderate,moderate,limited,moderate,limited,limited
herbaspirillum aquaticum,limited,moderate,limited,limited,limited,,limited,moderate,limited,NA,limited
herbaspirillum autotrophicum,limited,moderate,moderate,limited,limited,limited,NA,moderate,NA,NA,limited
herbaspirillum chlorophenolicum,limited,limited,limited,moderate,limited,moderate,moderate,NA,limited,limited,limited
herbaspirillum huttiense,limited,moderate,limited,moderate,limited,moderate,limited,moderate,moderate,limited,moderate
herbaspirillum rubrisubalbicans,moderate,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate
herbaspirillum seropedicae,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
herminiimonas aquatilis,limited,moderate,limited,moderate,moderate,limited,moderate,moderate,limited,limited,limited
herminiimonas arsenicoxydans,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,limited
herminiimonas fonticola,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
herminiimonas glaciei,limited,limited,limited,moderate,limited,limited,limited,limited,limited,limited,limited
heyndrickxia acidicola,limited,limited,limited,limited,NA,limited,limited,limited,limited,NA,NA
heyndrickxia ginsengihumi,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
heyndrickxia oleronia,limited,limited,limited,NA,limited,moderate,moderate,NA,moderate,NA,NA
heyndrickxia shackletonii,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
heyndrickxia sporothermodurans,moderate,limited,moderate,limited,limited,moderate,moderate,extensive,moderate,NA,moderate
histophilus somni,moderate,extensive,moderate,moderate,extensive,extensive,moderate,extensive,extensive,moderate,extensive
hoeflea alexandrii,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,limited
hoeflea halophila,limited,moderate,limited,limited,limited,limited,limited,limited,limited,NA,limited
hoeflea marina,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,limited,NA,limited
hoeflea olei,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
hoeflea phototrophica,limited,moderate,limited,limited,limited,moderate,limited,moderate,limited,limited,NA
