species,phenotype,phenotype_label,model_id,model_display,knowledge_group,prediction
Enterococcus hirae,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Enterococcus mundtii,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Enterococcus plantarum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Erysipelothrix rhusiopathiae,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Frankia casuarinae,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Fructilactobacillus sanfranciscensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Haloarcula japonica,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Halobacterium salinarum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Haloferax volcanii,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Kocuria varians,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Komagataeibacter nataicola,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Komagataeibacter rhaeticus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Komagataeibacter xylinus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Lachnospira eligens,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Leuconostoc carnosum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Leuconostoc citreum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Ligilactobacillus acidipiscis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Ligilactobacillus salivarius,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Limosilactobacillus panis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Macrococcus epidermidis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Methylotuvimicrobium buryatense,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Microbacterium laevaniformans,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Moraxella catarrhalis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Moraxella osloensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Neisseria flavescens,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Neisseria sicca,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Neisseria subflava,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Nitrosomonas europaea,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Oxalobacter formigenes,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Paenibacillus dendritiformis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Paenibacillus mucilaginosus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Paenibacillus terrigena,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Paraburkholderia kururiensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Pediococcus pentosaceus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Persephonella marina,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Pseudomonas oleovorans,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Saccharopolyspora erythraea,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Schaalia turicensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Sorangium bulgaricum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Sorangium cellulosum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus argenteus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus arlettae,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus aureus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus auricularis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus canis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus capitis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus caprae,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus carnosus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus chromogenes,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus delphini,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus epidermidis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus equorum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus haemolyticus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus hominis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus hyicus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus lugdunensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus pseudintermedius,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus saprophyticus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus schleiferi,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus schweitzeri,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus warneri,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Staphylococcus xylosus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Streptomyces africanus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces aurantiogriseus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces azureus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces brasiliensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces djakartensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces levis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces lusitanus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces mutabilis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces pilosus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces rubiginosus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces thermocarboxydus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Streptomyces viridosporus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Thermus aquaticus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Weissella paramesenteroides,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
[Clostridium] innocuum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
[Clostridium] leptum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
