binomial_name	species_level	trait_motility	trait_gram_staining	trait_aerophilicity	trait_extreme_environment_tolerance	trait_biofilm_formation	trait_animal_pathogenicity	trait_biosafety_level	trait_health_association	trait_host_association	trait_plant_pathogenicity	trait_spore_formation	trait_cell_shape	agg_tier	agg_mean	agg_n_ordinal	agg_na_frac	agg_max	agg_min	agg_mode
Citrobacter braakii	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Shewanella baltica	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	NA	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Eubacterium limosum	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Streptomyces rochei	extensive	limited	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Paenibacillus mucilaginosus	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Leptospira borgpetersenii	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	limited	moderate	limited	NA	moderate	moderate	0.9091	11	0.0833	extensive	limited	moderate
Acinetobacter radioresistens	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Raoultella planticola	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Sphingobium yanoikuyae	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Bacteroides caccae	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Xanthomonas euvesicatoria	extensive	extensive	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Thermotoga neapolitana	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	NA	NA	limited	moderate	moderate	0.5000	10	0.1667	moderate	limited	moderate
Staphylococcus schleiferi	extensive	limited	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Bifidobacterium dentium	extensive	limited	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	limited
Leuconostoc pseudomesenteroides	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	moderate	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Rickettsia akari	extensive	limited	moderate	moderate	limited	limited	moderate	moderate	limited	moderate	limited	NA	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Kocuria rosea	extensive	limited	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Staphylococcus equorum	extensive	limited	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Pseudomonas tolaasii	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Pseudomonas koreensis	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Legionella longbeachae	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	NA	limited	moderate	moderate	0.7273	11	0.0833	moderate	limited	moderate
Bordetella avium	extensive	moderate	moderate	moderate	limited	limited	moderate	limited	limited	moderate	NA	NA	moderate	moderate	0.6000	10	0.1667	moderate	limited	moderate
Mycobacteroides abscessus	extensive	moderate	limited	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Priestia megaterium	extensive	moderate	extensive	extensive	moderate	moderate	limited	moderate	limited	limited	limited	moderate	extensive	moderate	0.9167	12	0.0000	extensive	limited	moderate
Microbacterium testaceum	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Komagataeibacter xylinus	extensive	limited	moderate	moderate	moderate	extensive	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	extensive	limited	limited
Serratia fonticola	moderate	limited	moderate	NA	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Amycolatopsis orientalis	extensive	limited	moderate	moderate	limited	limited	limited	limited	NA	limited	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Pseudoalteromonas piscicida	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	NA	limited	NA	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Pseudomonas luteola	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Methylomonas methanica	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	NA	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Pantoea dispersa	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Filifactor alocis	extensive	limited	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	NA	limited	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Pectobacterium parmentieri	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	moderate	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Salinispora tropica	extensive	limited	moderate	limited	limited	limited	NA	limited	limited	NA	limited	limited	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Paenarthrobacter aurescens	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Mesorhizobium ciceri	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Dickeya solani	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Neisseria subflava	extensive	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	limited	NA	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Xanthomonas fragariae	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Staphylococcus chromogenes	extensive	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	NA	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Bacillus toyonensis	extensive	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Mycobacterium scrofulaceum	extensive	limited	limited	moderate	moderate	limited	limited	moderate	limited	limited	limited	limited	limited	limited	0.2500	12	0.0000	moderate	limited	limited
Pandoraea pnomenusa	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Pseudomonas veronii	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Streptomyces scabiei	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Paenibacillus alvei	extensive	moderate	extensive	moderate	moderate	moderate	limited	limited	limited	moderate	limited	moderate	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Staphylococcus caprae	extensive	limited	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Prevotella oris	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	moderate	NA	limited	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Streptomyces kanamyceticus	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Bifidobacterium thermophilum	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Capnocytophaga ochracea	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	moderate	NA	limited	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Neisseria mucosa	extensive	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	NA	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Pseudomonas oryzihabitans	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Pseudomonas marginalis	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Arthrobacter psychrolactophilus	moderate	limited	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Mycobacterium simiae	extensive	limited	limited	moderate	moderate	limited	limited	moderate	limited	moderate	NA	limited	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Streptomyces nodosus	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Pseudomonas brassicacearum	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Bacillus vallismortis	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Nitrobacter winogradskyi	extensive	limited	moderate	moderate	limited	limited	NA	limited	limited	limited	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Deinococcus geothermalis	extensive	moderate	moderate	moderate	extensive	limited	NA	limited	limited	NA	limited	limited	moderate	moderate	0.6000	10	0.1667	extensive	limited	limited
Edwardsiella piscicida	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	NA	moderate	moderate	0.9091	11	0.0833	moderate	limited	moderate
[Clostridium] innocuum	extensive	moderate	moderate	moderate	limited	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Pseudomonas monteilii	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Hydrogenovibrio crunogenus	moderate	limited	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Staphylococcus pasteuri	moderate	limited	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	0.2500	12	0.0000	moderate	limited	limited
Serratia rubidaea	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Acinetobacter nosocomialis	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Stenotrophomonas rhizophila	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Listeria welshimeri	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Xanthomonas perforans	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Priestia flexa	moderate	NA	NA	NA	limited	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Rickettsia sibirica	extensive	moderate	moderate	moderate	moderate	limited	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Novosphingobium aromaticivorans	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Helicobacter heilmannii	moderate	moderate	limited	moderate	limited	limited	moderate	limited	limited	moderate	NA	NA	moderate	moderate	0.5000	10	0.1667	moderate	limited	moderate
Lactiplantibacillus pentosus	extensive	limited	extensive	moderate	moderate	moderate	limited	limited	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Corynebacterium amycolatum	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Xanthomonas phaseoli	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	moderate	moderate	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Pseudomonas nitroreducens	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Cellvibrio japonicus	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Latilactobacillus sakei	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Streptomyces alboniger	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Bartonella vinsonii	extensive	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	moderate	limited	NA	moderate	moderate	0.7273	11	0.0833	moderate	limited	moderate
Geobacillus thermoleovorans	extensive	moderate	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	limited	moderate	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Lentilactobacillus buchneri	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Raoultella terrigena	extensive	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Kocuria flava	moderate	NA	moderate	limited	limited	limited	NA	limited	limited	NA	NA	limited	moderate	limited	0.2500	8	0.3333	moderate	limited	limited
Streptococcus parauberis	extensive	limited	moderate	limited	limited	limited	moderate	limited	limited	moderate	NA	limited	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Dickeya zeae	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	extensive	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Glaesserella parasuis	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	moderate	extensive	NA	NA	moderate	moderate	1.2000	10	0.1667	extensive	moderate	moderate
Campylobacter upsaliensis	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Pseudomonas citronellolis	moderate	limited	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Comamonas thiooxydans	moderate	limited	limited	NA	limited	NA	NA	limited	limited	limited	limited	NA	limited	limited	0.0000	8	0.3333	limited	limited	limited
Listeria seeligeri	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Streptomyces tendae	extensive	limited	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Actinomadura madurae	extensive	limited	moderate	limited	limited	limited	limited	limited	limited	limited	NA	NA	moderate	limited	0.2000	10	0.1667	moderate	limited	limited
Brevibacterium casei	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.2727	11	0.0833	moderate	limited	limited
Brevibacillus reuszeri	moderate	limited	moderate	limited	limited	limited	NA	limited	limited	NA	limited	limited	limited	limited	0.1000	10	0.1667	moderate	limited	limited
Bacteroides xylanisolvens	extensive	limited	moderate	moderate	limited	limited	limited	moderate	moderate	moderate	NA	limited	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Borreliella burgdorferi	extensive	extensive	limited	moderate	moderate	moderate	extensive	moderate	extensive	extensive	limited	limited	extensive	moderate	1.1667	12	0.0000	extensive	limited	extensive
Photobacterium profundum	extensive	extensive	moderate	extensive	extensive	moderate	limited	moderate	limited	limited	NA	limited	moderate	moderate	0.9091	11	0.0833	extensive	limited	moderate
Photobacterium kishitanii	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	NA	NA	moderate	moderate	0.5000	10	0.1667	moderate	limited	moderate
Clostridium tertium	extensive	moderate	moderate	moderate	moderate	limited	limited	moderate	limited	moderate	NA	limited	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Pseudomonas paraeruginosa	extensive	extensive	moderate	limited	limited	limited	limited	limited	limited	NA	NA	limited	extensive	moderate	0.5000	10	0.1667	extensive	limited	limited
Fusobacterium varium	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Ensifer adhaerens	extensive	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	NA	moderate	limited	0.3636	11	0.0833	moderate	limited	limited
Rickettsia massiliae	extensive	moderate	moderate	moderate	moderate	limited	moderate	moderate	limited	moderate	limited	NA	moderate	moderate	0.7273	11	0.0833	moderate	limited	moderate
Planococcus rifietoensis	NA	NA	NA	limited	limited	NA	NA	NA	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Rubrivivax gelatinosus	extensive	moderate	moderate	extensive	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	extensive	limited	limited
Burkholderia contaminans	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Bacillus paramycoides	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Alteromonas naphthalenivorans	moderate	NA	moderate	NA	limited	limited	limited	limited	limited	NA	limited	NA	limited	limited	0.1250	8	0.3333	moderate	limited	limited
Bacillus halotolerans	moderate	NA	moderate	limited	moderate	NA	NA	limited	limited	NA	limited	limited	moderate	limited	0.3750	8	0.3333	moderate	limited	limited
Streptomyces platensis	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Streptomyces parvulus	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Caulobacter flavus	moderate	NA	NA	NA	limited	NA	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Bartonella apis	moderate	NA	NA	limited	limited	NA	NA	limited	NA	limited	NA	NA	NA	limited	0.0000	4	0.6667	limited	limited	limited
Vibrio furnissii	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	limited	NA	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Capnocytophaga gingivalis	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	moderate	NA	limited	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Macrococcus caseolyticus	extensive	limited	moderate	moderate	moderate	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Nitrosomonas eutropha	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	NA	NA	moderate	limited	0.3000	10	0.1667	moderate	limited	limited
Prevotella denticola	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Sagittula stellata	moderate	NA	limited	NA	limited	limited	NA	limited	limited	NA	NA	NA	NA	limited	0.0000	5	0.5833	limited	limited	limited
Nitratireductor indicus	moderate	NA	NA	NA	limited	limited	NA	limited	NA	NA	NA	NA	NA	limited	0.0000	3	0.7500	limited	limited	limited
Weissella paramesenteroides	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Delftia tsuruhatensis	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Xenorhabdus khoisanae	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Fusobacterium ulcerans	NA	NA	moderate	limited	limited	limited	limited	limited	limited	NA	NA	limited	limited	limited	0.1111	9	0.2500	moderate	limited	limited
Celeribacter baekdonensis	moderate	NA	NA	limited	limited	limited	NA	limited	limited	NA	NA	NA	limited	limited	0.0000	6	0.5000	limited	limited	limited
Bacillus sonorensis	moderate	NA	moderate	NA	moderate	NA	NA	limited	limited	NA	limited	NA	limited	limited	0.3333	6	0.5000	moderate	limited	limited
Proteus hauseri	moderate	moderate	limited	NA	NA	limited	NA	limited	limited	NA	NA	NA	NA	limited	0.2000	5	0.5833	moderate	limited	limited
Chryseobacterium joostei	limited	limited	moderate	limited	limited	limited	limited	limited	limited	NA	limited	limited	moderate	limited	0.1818	11	0.0833	moderate	limited	limited
Streptococcus infantarius	extensive	limited	moderate	moderate	limited	limited	limited	limited	moderate	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Nocardia nova	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Burkholderia pyrrocinia	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Shewanella loihica	moderate	moderate	moderate	moderate	moderate	moderate	NA	limited	limited	limited	limited	NA	moderate	moderate	0.6000	10	0.1667	moderate	limited	moderate
Helicobacter mustelae	extensive	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	moderate	NA	limited	moderate	moderate	0.7273	11	0.0833	moderate	limited	moderate
Mycobacterium malmoense	extensive	limited	limited	moderate	moderate	moderate	limited	moderate	limited	moderate	NA	limited	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Achromobacter denitrificans	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Anaeromyxobacter dehalogenans	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Staphylococcus arlettae	extensive	limited	moderate	moderate	moderate	limited	limited	limited	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Erwinia tracheiphila	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	moderate	extensive	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Enterobacter cancerogenus	extensive	moderate	moderate	moderate	moderate	limited	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Streptomyces tsukubensis	extensive	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Campylobacter gracilis	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	NA	NA	moderate	limited	0.4000	10	0.1667	moderate	limited	limited
Actinomadura darangshiensis	NA	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Shewanella frigidimarina	extensive	moderate	moderate	extensive	moderate	moderate	limited	limited	limited	limited	limited	NA	moderate	moderate	0.6364	11	0.0833	extensive	limited	moderate
Kribbella pittospori	NA	NA	NA	limited	limited	limited	NA	limited	NA	NA	limited	NA	NA	limited	0.0000	5	0.5833	limited	limited	limited
Xenorhabdus bovienii	extensive	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Nocardia cyriacigeorgica	extensive	limited	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Gordonia lacunae	moderate	NA	NA	NA	limited	NA	NA	limited	NA	NA	NA	NA	NA	NA	nan	2	0.8333			
Enterobacter kobei	extensive	moderate	moderate	moderate	limited	limited	limited	moderate	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Helicobacter bilis	extensive	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	moderate	limited	NA	moderate	moderate	0.8182	11	0.0833	moderate	limited	moderate
Klebsiella michiganensis	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Brucella ceti	extensive	moderate	moderate	moderate	limited	limited	moderate	moderate	limited	extensive	NA	NA	moderate	moderate	0.8000	10	0.1667	extensive	limited	moderate
Streptomyces glaucescens	moderate	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Corynebacterium efficiens	moderate	limited	moderate	moderate	limited	limited	limited	limited	NA	NA	limited	limited	moderate	limited	0.3000	10	0.1667	moderate	limited	limited
Mycobacterium szulgai	extensive	limited	limited	moderate	moderate	limited	moderate	moderate	limited	limited	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Pseudomonas fulva	moderate	limited	moderate	limited	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.1667	12	0.0000	moderate	limited	limited
Leptospira kirschneri	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	moderate	NA	NA	moderate	moderate	0.9000	10	0.1667	moderate	limited	moderate
Staphylococcus auricularis	extensive	limited	moderate	moderate	limited	moderate	limited	limited	limited	moderate	NA	limited	moderate	limited	0.4545	11	0.0833	moderate	limited	limited
Mycobacterium genavense	moderate	limited	limited	limited	limited	limited	moderate	moderate	limited	moderate	limited	limited	limited	limited	0.2500	12	0.0000	moderate	limited	limited
Brevibacillus borstelensis	moderate	limited	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Dickeya chrysanthemi	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	extensive	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Streptococcus cristatus	extensive	limited	moderate	moderate	limited	moderate	limited	limited	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Enterobacter bugandensis	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
